Autor;Titel;Nr;Passage;Aussage;Code des Typs;Annotator/in;Anmerkung;E1;Relation;E2;POST
Rieger, Dietmar;Französische Literatur. 18. Jahrhundert.;386-387;"Vielleicht hängt damit die Tatsache zusammen, daß die ""großen"" Aufklärer mit Ausnahme von Diderot (Supplément au voyage de Bougainville) die Utopie kaum gepflegt und sie allenfalls zuweilen in ihre Werke inkorporiert haben, wie Montesquieu die historische Gesellschaftstheorie der ""Histoire des Troglodytes"" in die Lettres persanes von 1721 (Briefe XI-XIV) oder <e1>Voltaire</e1><rel>die im Kontext der Erzählung fragwürdige Utopie von </rel><e2>Eldorado</e2> in seinem Candide von 1759 (Kap. XVII-XVIII) oder wie der Marquis de Sade in seinem Briefroman Aline et Valcour.";Voltaire topicInterest Eldorado;topicInterest;SH;neues Thema;Voltaire;die im Kontext der Erzählung fragwürdige Utopie von ;Eldorado;
Rieger, Dietmar;Französische Literatur. 18. Jahrhundert.;386-387;"Vielleicht hängt damit die Tatsache zusammen, daß die ""großen"" Aufklärer mit Ausnahme von Diderot (Supplément au voyage de Bougainville) die Utopie kaum gepflegt und sie allenfalls zuweilen in ihre Werke inkorporiert haben, wie Montesquieu die historische Gesellschaftstheorie der ""Histoire des Troglodytes"" in die Lettres persanes von 1721 (Briefe XI-XIV) oder Voltaire die im Kontext der Erzählung fragwürdige Utopie von <e2>Eldorado</e2><rel>in seinem </rel><e1>Candide</e1> von 1759 (Kap. XVII-XVIII) oder wie der Marquis de Sade in seinem Briefroman Aline et Valcour.";Candide about Eldorado;about;SH;"""";Candide;in seinem ;Eldorado;
Rieger, Dietmar;Französische Literatur. 18. Jahrhundert.;386-387;"Vielleicht hängt damit die Tatsache zusammen, daß die ""großen"" Aufklärer mit Ausnahme von Diderot (Supplément au voyage de Bougainville) die Utopie kaum gepflegt und sie allenfalls zuweilen in ihre Werke inkorporiert haben, wie Montesquieu die historische Gesellschaftstheorie der ""Histoire des Troglodytes"" in die Lettres persanes von 1721 (Briefe XI-XIV) oder Voltaire die im Kontext der Erzählung fragwürdige Utopie von Eldorado in seinem Candide von 1759 (Kap. XVII-XVIII) oder wie der <e1>Marquis de Sade</e1><rel>in seinem Briefroman </rel><e2>Aline et Valcour</e2>.";Marquis de Sade author Aline et Valcour;author;SH;;Marquis de Sade;in seinem Briefroman ;Aline et Valcour;
Rieger, Dietmar;Französische Literatur. 18. Jahrhundert.;386-387;"Vielleicht hängt damit die Tatsache zusammen, daß die ""großen"" Aufklärer mit Ausnahme von Diderot (Supplément au voyage de Bougainville) die Utopie kaum gepflegt und sie allenfalls zuweilen in ihre Werke inkorporiert haben, wie Montesquieu die historische Gesellschaftstheorie der ""Histoire des Troglodytes"" in die Lettres persanes von 1721 (Briefe XI-XIV) oder Voltaire die im Kontext der Erzählung fragwürdige Utopie von Eldorado in seinem Candide von 1759 (Kap. XVII-XVIII) oder wie der <e2>Marquis de Sade</e2><rel>in seinem Briefroman </rel><e1>Aline et Valcour</e1>.";Aline et Valcour hasAuthor Marquis de Sade;hasAuthor;SH;;Aline et Valcour;in seinem Briefroman ;Marquis de Sade;
Rieger, Dietmar;Französische Literatur. 18. Jahrhundert.;386-387;"Vielleicht hängt damit die Tatsache zusammen, daß die ""großen"" Aufklärer mit Ausnahme von Diderot (Supplément au voyage de Bougainville) die Utopie kaum gepflegt und sie allenfalls zuweilen in ihre Werke inkorporiert haben, wie Montesquieu die historische Gesellschaftstheorie der ""Histoire des Troglodytes"" in die Lettres persanes von 1721 (<e2>Briefe</e2><rel>XI-XIV) oder Voltaire die im Kontext der Erzählung fragwürdige Utopie von Eldorado in seinem Candide von 1759 (Kap. XVII-XVIII) oder wie der Marquis de Sade in seinem Briefroman </rel><e1>Aline et Valcour</e1>.";Aline et Valcour hasGenre Briefroman;hasGenre;SH;;Aline et Valcour;XI-XIV) oder Voltaire die im Kontext der Erzählung fragwürdige Utopie von Eldorado in seinem Candide von 1759 (Kap. XVII-XVIII) oder wie der Marquis de Sade in seinem Briefroman ;Briefe;
Rieger, Dietmar;Französische Literatur. 18. Jahrhundert.;388;"In der zweiten Jahrhunderthälfte wird die literarische Utopie häufig als ""utopie-projet"" zu konkreten Reformprojekten und Gesetzgebungsmodellen entfiktionalisiert - so etwa in <e1>Morelly</e1><rel> </rel><e2>Code de la Nature</e2> von 1755 mit dem für alle gleichermaßen geltenden Postulat ""la raison veut, la loi ordonne"" - und besonders auch durch utopiekritische und -parodistische Elemente bereichert.";Étienne-Gabriel Morelly author Code de la Nature;author;SH;;Morelly; ;Code de la Nature;
Rieger, Dietmar;Französische Literatur. 18. Jahrhundert.;388;"In der zweiten Jahrhunderthälfte wird die literarische Utopie häufig als ""utopie-projet"" zu konkreten Reformprojekten und Gesetzgebungsmodellen entfiktionalisiert - so etwa in <e2>Morelly</e2><rel> </rel><e1>Code de la Nature</e1> von 1755 mit dem für alle gleichermaßen geltenden Postulat ""la raison veut, la loi ordonne"" - und besonders auch durch utopiekritische und -parodistische Elemente bereichert.";Code de la Nature hasAuthor Étienne-Gabriel Morelly;hasAuthor;SH;;Code de la Nature; ;Morelly;
Rieger, Dietmar;Französische Literatur. 18. Jahrhundert.;388;"In der zweiten Jahrhunderthälfte wird die literarische <e2>Utopie</e2><rel>häufig als ""utopie-projet"" zu konkreten Reformprojekten und Gesetzgebungsmodellen entfiktionalisiert - so etwa in Morellys </rel><e1>Code de la Nature</e1> von 1755 mit dem für alle gleichermaßen geltenden Postulat ""la raison veut, la loi ordonne"" - und besonders auch durch utopiekritische und -parodistische Elemente bereichert.";Code de la Nature about Utopie;about;SH;;Code de la Nature;"häufig als ""utopie-projet"" zu konkreten Reformprojekten und Gesetzgebungsmodellen entfiktionalisiert - so etwa in Morellys ";Utopie;
Rieger, Dietmar;Französische Literatur. 18. Jahrhundert.;388;"In der zweiten Jahrhunderthälfte wird die literarische <e2>Utopie</e2><rel>häufig als ""utopie-projet"" zu konkreten Reformprojekten und Gesetzgebungsmodellen entfiktionalisiert - so etwa in </rel><e1>Morelly</e1>s Code de la Nature von 1755 mit dem für alle gleichermaßen geltenden Postulat ""la raison veut, la loi ordonne"" - und besonders auch durch utopiekritische und -parodistische Elemente bereichert.";Étienne-Gabriel Morelly topicInterest Utopie;topicInterest;SH;;Morelly;"häufig als ""utopie-projet"" zu konkreten Reformprojekten und Gesetzgebungsmodellen entfiktionalisiert - so etwa in ";Utopie;
Rieger, Dietmar;Französische Literatur. 18. Jahrhundert.;389;"Vor allem aber entsteht die erste Uchronie (<e1>Mercier</e1><rel> </rel><e2>L'An 2440</e2>, 1770), d.h. Transposition des utopischen Ideals (bei identischem Raum) aus dem Raum in die Zeit, die Zukunft, die der Traum (Untertitel: ""Rêve s'il en fut jamais"") zu antizipieren vermag.";Louis-Sébastien Mercier author L'An 2440;author;SH;;Mercier; ;L'An 2440;
Rieger, Dietmar;Französische Literatur. 18. Jahrhundert.;389;"Vor allem aber entsteht die erste Uchronie (<e2>Mercier</e2><rel> </rel><e1>L'An 2440</e1>, 1770), d.h. Transposition des utopischen Ideals (bei identischem Raum) aus dem Raum in die Zeit, die Zukunft, die der Traum (Untertitel: ""Rêve s'il en fut jamais"") zu antizipieren vermag.";L'An 2440 hasAuthor Louis-Sébastien Mercier;hasAuthor;SH;;L'An 2440; ;Mercier;
Rieger, Dietmar;Französische Literatur. 18. Jahrhundert.;389;"Vor allem aber entsteht die erste Uchronie (Mercier, L'An 2440, 1770), d.h. Transposition des utopischen Ideals (bei identischem Raum) aus dem Raum in die Zeit, die Zukunft, die der Traum (Untertitel: ""Rêve s'il en fut jamais"") zu antizipieren vermag.";Louis-Sébastien Mercier topicInterest Uchronie;topicInterest*;SH;*Genre?;;;;RTS
Rieger, Dietmar;Französische Literatur. 18. Jahrhundert.;389;"Vor allem aber entsteht die erste Uchronie (Mercier, L'An 2440, 1770), d.h. Transposition des utopischen Ideals (bei identischem Raum) aus dem Raum in die Zeit, die Zukunft, die der Traum (Untertitel: ""Rêve s'il en fut jamais"") zu antizipieren vermag.";L'An 2440 about Uchronie;about*;SH;*Genre?;;;;RTS
Rieger, Dietmar;Französische Literatur. 18. Jahrhundert.;389;"Vor allem aber entsteht die erste Uchronie (<e1>Mercier</e1><rel> L'An 2440, 1770), d.h. Transposition des utopischen Ideals (bei identischem Raum) aus dem Raum in die Zeit, die </rel><e2>Zukunft</e2>, die der Traum (Untertitel: ""Rêve s'il en fut jamais"") zu antizipieren vermag.";Louis-Sébastien Mercier topicInterest Zukunft;topicInterest;SH;neues Thema;Mercier; L'An 2440, 1770), d.h. Transposition des utopischen Ideals (bei identischem Raum) aus dem Raum in die Zeit, die ;Zukunft;
Rieger, Dietmar;Französische Literatur. 18. Jahrhundert.;389;"Vor allem aber entsteht die erste Uchronie (Mercier, <e1>L'An 2440</e1><rel> 1770), d.h. Transposition des utopischen Ideals (bei identischem Raum) aus dem Raum in die Zeit, die </rel><e2>Zukunft</e2>, die der Traum (Untertitel: ""Rêve s'il en fut jamais"") zu antizipieren vermag.";L'An 2440 about Zukunft;about;SH;"""";L'An 2440; 1770), d.h. Transposition des utopischen Ideals (bei identischem Raum) aus dem Raum in die Zeit, die ;Zukunft;
Rieger, Dietmar;Französische Literatur. 18. Jahrhundert.;390;Auffällig sind gerade in <e1>Merciers</e1> <rel>Roman, ... . (...) verdeutlicht die Ambiguität des Mercierschen Zukunftsentwurfs und seine Nähe zu den totalitären Überwachungsstaaten der vor allem angelsächsischen</rel> <e2>Anti-Utopien</e2> des 20. Jahrhunderts: (...).;Louis-Sébastien Mercier topicInterest Dystopie;topicInterest;SH;neues Thema;Mercier;Roman, ... . (...) verdeutlicht die Ambiguität des Mercierschen Zukunftsentwurfs und seine Nähe zu den totalitären Überwachungsstaaten der vor allem angelsächsischen;Anti-Utopien;
Rieger, Dietmar;Französische Literatur. 18. Jahrhundert.;390;Auffällig sind gerade in <e1>Merciers Roman</e1><rel>, ... . (...) verdeutlicht die Ambiguität des Mercierschen Zukunftsentwurfs und seine Nähe zu den totalitären Überwachungsstaaten der vor allem angelsächsischen</rel> <e2>Anti-Utopien</e2> des 20. Jahrhunderts: (...).;L'An 2440 about Dystopie;about;SH;"""";Merciers Roman;, ... . (...) verdeutlicht die Ambiguität des Mercierschen Zukunftsentwurfs und seine Nähe zu den totalitären Überwachungsstaaten der vor allem angelsächsischen;Anti-Utopien;
Rieger, Dietmar;Französische Literatur. 18. Jahrhundert.;392;"Vor allem auch die durchgängigen Ideale des ""ordre"" (gepaart mit ""utilité"") und der ""perfection"" (gepaart mit ""harmonie"") unterstreichen die Problematik von <e1>Mercier</e1><rel> </rel><e2>Freiheitsbegriff</e2> der in Anbetracht einer allgemein gegenwärtigen, als von allen freiwillig akzeptiert gedachten Norm sich selbst in Frage stellt.";Louis-Sébastien Mercier topicInterest Freiheit*;topicInterest;SH;*Unfreiheit;Mercier; ;Freiheitsbegriff;RTS
Rieger, Dietmar;Französische Literatur. 18. Jahrhundert.;392;"Vor allem auch die durchgängigen Ideale des ""ordre"" (gepaart mit ""utilité"") und der ""perfection"" (gepaart mit ""harmonie"") unterstreichen die Problematik von Merciers <e2>Freiheitsbegriff</e2> der in Anbetracht einer allgemein gegenwärtigen, als von allen freiwillig akzeptiert gedachten Norm sich selbst in Frage stellt.";L'An 2440 about Freiheit*;about;SH;*Unfreiheit;Not Found;;Freiheitsbegriff;RTS
Rieger, Dietmar;Französische Literatur. 18. Jahrhundert.;402;"Realistische Tendenzen verstärken die Gefahr des Vorwurfs der Unmoral, der von Seiten des ""parti dévot"" auf Grund der spätestens seit <e1>Pierre-Daniel Huet</e1><rel> ""klassisch"" gewordenem Romantraktat (</rel><e2>Traité sur l'origine des romans</e2>, 1670) üblichen poetologischen Zentrierung auf die Liebesthematik ohnehin ständig droht.";Pierre-Daniel Huet author Traité sur l'origine des romans;author;SH;;Pierre-Daniel Huet;" ""klassisch"" gewordenem Romantraktat (";Traité sur l'origine des romans;
Rieger, Dietmar;Französische Literatur. 18. Jahrhundert.;402;"Realistische Tendenzen verstärken die Gefahr des Vorwurfs der Unmoral, der von Seiten des ""parti dévot"" auf Grund der spätestens seit <e2>Pierre-Daniel Huet</e2><rel> ""klassisch"" gewordenem Romantraktat (</rel><e1>Traité sur l'origine des romans</e1>, 1670) üblichen poetologischen Zentrierung auf die Liebesthematik ohnehin ständig droht.";Traité sur l'origine des romans hasAuthor Pierre-Daniel Huet;hasAuthor;SH;;Traité sur l'origine des romans;" ""klassisch"" gewordenem Romantraktat (";Pierre-Daniel Huet;
Rieger, Dietmar;Französische Literatur. 18. Jahrhundert.;402;"Realistische Tendenzen verstärken die Gefahr des Vorwurfs der Unmoral, der von Seiten des ""parti dévot"" auf Grund der spätestens seit <e1>Pierre-Daniel Huet</e1><rel> ""klassisch"" gewordenem Romantraktat (Traité sur l'origine des romans, 1670) üblichen poetologischen Zentrierung auf die </rel><e2>Liebesthematik</e2> ohnehin ständig droht.";Pierre-Daniel Huet topicInterest Liebe;topicInterest;SH;;Pierre-Daniel Huet;" ""klassisch"" gewordenem Romantraktat (Traité sur l'origine des romans, 1670) üblichen poetologischen Zentrierung auf die ";Liebesthematik;
Rieger, Dietmar;Französische Literatur. 18. Jahrhundert.;402;"Realistische Tendenzen verstärken die Gefahr des Vorwurfs der Unmoral, der von Seiten des ""parti dévot"" auf Grund der spätestens seit Pierre-Daniel Huets ""klassisch"" gewordenem Romantraktat (<e1>Traité sur l'origine des romans</e1><rel> 1670) üblichen poetologischen Zentrierung auf die </rel><e2>Liebesthematik</e2> ohnehin ständig droht.";Traité sur l'origine des romans about Liebe;about;SH;;Traité sur l'origine des romans; 1670) üblichen poetologischen Zentrierung auf die ;Liebesthematik;
Rieger, Dietmar;Französische Literatur. 18. Jahrhundert.;419;"Bezeichnend ist die vom <e1>Marquis de Sade</e1><rel>zu Beginn seiner </rel><e2>Idée sur les romans</e2> wiederaufgegriffene Romandefinition, die der Chevalier de Jaucourt 1762 in der Encyclopédie formuliert: War für Huet das Hauptkriterium noch die Liebesthematik und der Roman eine ""fiction d'aventures amoureuses"" - und die Frühaufklärung hat dieser Definition sowohl mit dem libertinen als auch mit dem sentimentalen Roman entsprochen -, so bezeichnet der fleißige Encyclopédie-Mitarbeiter Jaucourt den Roman als ""récit fictif de diverses aventures merveilleuses ou vraisemblables de la vie humaine"" und stellt seine Eignung zur Vermittlung von ""choses utiles"" heraus.";Marquis de Sade author Idée sur les romans;author;SH;;Marquis de Sade;zu Beginn seiner ;Idée sur les romans;
Rieger, Dietmar;Französische Literatur. 18. Jahrhundert.;419;"Bezeichnend ist die vom <e2>Marquis de Sade</e2><rel>zu Beginn seiner </rel><e1>Idée sur les romans</e1> wiederaufgegriffene Romandefinition, die der Chevalier de Jaucourt 1762 in der Encyclopédie formuliert: War für Huet das Hauptkriterium noch die Liebesthematik und der Roman eine ""fiction d'aventures amoureuses"" - und die Frühaufklärung hat dieser Definition sowohl mit dem libertinen als auch mit dem sentimentalen Roman entsprochen -, so bezeichnet der fleißige Encyclopédie-Mitarbeiter Jaucourt den Roman als ""récit fictif de diverses aventures merveilleuses ou vraisemblables de la vie humaine"" und stellt seine Eignung zur Vermittlung von ""choses utiles"" heraus.";Idée sur les romans hasAuthor Marquis de Sade;hasAuthor;SH;;Idée sur les romans;zu Beginn seiner ;Marquis de Sade;
Rieger, Dietmar;Französische Literatur. 18. Jahrhundert.;419;"Bezeichnend ist die vom <e1>Marquis de Sade</e1><rel>zu Beginn seiner Idée sur les romans wiederaufgegriffene </rel><e2>Romandefinition</e2>, die der Chevalier de Jaucourt 1762 in der Encyclopédie formuliert: War für Huet das Hauptkriterium noch die Liebesthematik und der Roman eine ""fiction d'aventures amoureuses"" - und die Frühaufklärung hat dieser Definition sowohl mit dem libertinen als auch mit dem sentimentalen Roman entsprochen -, so bezeichnet der fleißige Encyclopédie-Mitarbeiter Jaucourt den Roman als ""récit fictif de diverses aventures merveilleuses ou vraisemblables de la vie humaine"" und stellt seine Eignung zur Vermittlung von ""choses utiles"" heraus.";Marquis de Sade topicInterest Romandefinition*;topicInterest;SH;(Roman-)Definition neues Thema? Oder ist Def. eher Genre?;Marquis de Sade;zu Beginn seiner Idée sur les romans wiederaufgegriffene;Romandefinition;
Rieger, Dietmar;Französische Literatur. 18. Jahrhundert.;419;"Bezeichnend ist die vom Marquis de Sade zu Beginn seiner <e1>Idée sur les romans</e1> <rel>wiederaufgegriffene</rel> </rel><e2>Romandefinition</e2>, die der Chevalier de Jaucourt 1762 in der Encyclopédie formuliert: War für Huet das Hauptkriterium noch die Liebesthematik und der Roman eine ""fiction d'aventures amoureuses"" - und die Frühaufklärung hat dieser Definition sowohl mit dem libertinen als auch mit dem sentimentalen Roman entsprochen -, so bezeichnet der fleißige Encyclopédie-Mitarbeiter Jaucourt den Roman als ""récit fictif de diverses aventures merveilleuses ou vraisemblables de la vie humaine"" und stellt seine Eignung zur Vermittlung von ""choses utiles"" heraus.";Idée sur les roman about Romandefinition*;about;SH;(Roman-)Definition neues Thema? Oder ist Def. eher Genre?;Idée sur les roman;wiederaufgegriffene;Romandefinition;
Rieger, Dietmar;Französische Literatur. 18. Jahrhundert.;419;"Bezeichnend ist die vom Marquis de Sade zu Beginn seiner Idée sur les romans wiederaufgegriffene Romandefinition, die der <e1>Chevalier de Jaucourt</e1><rel>1762 in der </rel><e2>Encyclopédie</e2> formuliert: War für Huet das Hauptkriterium noch die Liebesthematik und der Roman eine ""fiction d'aventures amoureuses"" - und die Frühaufklärung hat dieser Definition sowohl mit dem libertinen als auch mit dem sentimentalen Roman entsprochen -, so bezeichnet der fleißige Encyclopédie-Mitarbeiter Jaucourt den Roman als ""récit fictif de diverses aventures merveilleuses ou vraisemblables de la vie humaine"" und stellt seine Eignung zur Vermittlung von ""choses utiles"" heraus.";Chevalier de Jaucourt author Encyclopédie;author;SH;;Chevalier de Jaucourt;1762 in der ;Encyclopédie;
Rieger, Dietmar;Französische Literatur. 18. Jahrhundert.;419;"Bezeichnend ist die vom Marquis de Sade zu Beginn seiner Idée sur les romans wiederaufgegriffene Romandefinition, die der <e2>Chevalier de Jaucourt</e2><rel>1762 in der </rel><e1>Encyclopédie</e1> formuliert: War für Huet das Hauptkriterium noch die Liebesthematik und der Roman eine ""fiction d'aventures amoureuses"" - und die Frühaufklärung hat dieser Definition sowohl mit dem libertinen als auch mit dem sentimentalen Roman entsprochen -, so bezeichnet der fleißige Encyclopédie-Mitarbeiter Jaucourt den Roman als ""récit fictif de diverses aventures merveilleuses ou vraisemblables de la vie humaine"" und stellt seine Eignung zur Vermittlung von ""choses utiles"" heraus.";Encyclopédie hasAuthor Chevalier de Jaucourt;hasAuthor;SH;;Encyclopédie;1762 in der ;Chevalier de Jaucourt;
Rieger, Dietmar;Französische Literatur. 18. Jahrhundert.;419;"Bezeichnend ist die vom Marquis de Sade zu Beginn seiner Idée sur les romanswiederaufgegriffene <e2>Romandefinition</e2><rel>, die der </rel><e1>Chevalier de Jaucourt</e1> 1762 in der Encyclopédie formuliert: War für Huet das Hauptkriterium noch die Liebesthematik und der Roman eine ""fiction d'aventures amoureuses"" - und die Frühaufklärung hat dieser Definition sowohl mit dem libertinen als auch mit dem sentimentalen Roman entsprochen -, so bezeichnet der fleißige Encyclopédie-Mitarbeiter Jaucourt den Roman als ""récit fictif de diverses aventures merveilleuses ou vraisemblables de la vie humaine"" und stellt seine Eignung zur Vermittlung von ""choses utiles"" heraus.";Chevalier de Jaucourt topicInterest Romandefinition*;topicInterest;SH;(Roman-)Definition neues Thema? Oder ist Def. eher Genre?;Chevalier de Jaucourt;, die der;Romandefinition;
