Autor;Titel;OCR-Absatz;Passage;Aussage;Code des Typs;Annotator*in;Anmerkung;E1;Relation;E2;POST
Bauer-Funke, Cerstin;Die französische Literatur des 18. Jahrhunderts: Historische Entwicklung;8;Neben <e1>Elie Fréron</e1><rel> dem Intimfeind Voltaires, und dessen Sohn Stanislas gehören auch der Anwalt Moreau und der Dramatiker Palissot zu den bekanntesten anti-philosophes. Ihnen dient die von Fréron geleitete Zeitschrift „Année littéraire“ als Forum für den Kampf gegen die </rel><e2>Aufklärer</e2>.;Elie Fréron topicInterest Aufklärung;topicInterest;SH;;Elie Fréron; dem Intimfeind Voltaires, und dessen Sohn Stanislas gehören auch der Anwalt Moreau und der Dramatiker Palissot zu den bekanntesten anti-philosophes. Ihnen dient die von Fréron geleitete Zeitschrift „Année littéraire“ als Forum für den Kampf gegen die ;Aufklärer;
Bauer-Funke, Cerstin;Die französische Literatur des 18. Jahrhunderts: Historische Entwicklung;8;Neben Elie <e1>Fréron</e1><rel> dem Intimfeind Voltaires, und dessen Sohn Stanislas gehören auch der Anwalt Moreau und der Dramatiker Palissot zu den bekanntesten anti-philosophes. Ihnen dient die von Fréron geleitete Zeitschrift „Année littéraire“ als Forum für den Kampf gegen die </rel><e2>Aufklärer</e2>.;Louis-Marie Stanislas Fréron topicInterest Aufklärung;topicInterest;SH;;Fréron; dem Intimfeind Voltaires, und dessen Sohn Stanislas gehören auch der Anwalt Moreau und der Dramatiker Palissot zu den bekanntesten anti-philosophes. Ihnen dient die von Fréron geleitete Zeitschrift „Année littéraire“ als Forum für den Kampf gegen die ;Aufklärer;
Bauer-Funke, Cerstin;Die französische Literatur des 18. Jahrhunderts: Historische Entwicklung;8;Neben Elie Fréron, dem Intimfeind Voltaires, und dessen Sohn Stanislas gehören auch der Anwalt Moreau und der Dramatiker <e1>Palissot</e1> <rel>zu den bekanntesten anti-philosophes. Ihnen dient die von Fréron geleitete Zeitschrift „Année littéraire“ als Forum für den Kampf gegen die</rel> <e2>Aufklärer</e2>.;Charles Palissot de Montenoy topicInterest Aufklärung;topicInterest;SH;;Palissot;zu den bekanntesten anti-philosophes. Ihnen dient die von Fréron geleitete Zeitschrift „Année littéraire“ als Forum für den Kampf gegen die;Aufklärer;
Bauer-Funke, Cerstin;Die französische Literatur des 18. Jahrhunderts: Historische Entwicklung;8;Neben Elie Fréron, dem Intimfeind Voltaires, und dessen Sohn Stanislas gehören auch der Anwalt Moreau und der Dramatiker Palissot zu den bekanntesten anti-philosophes. Ihnen dient die von Fréron geleitete Zeitschrift „<e1>Année littéraire</e1><rel> als Forum für den Kampf gegen die </rel><e2>Aufklärer</e2>.;Année littéraire about Aufklärung;about;SH;;Année littéraire; als Forum für den Kampf gegen die ;Aufklärer;
Bauer-Funke, Cerstin;Die französische Literatur des 18. Jahrhunderts: Historische Entwicklung;9;[Während die anti-philosophes mit ihren Presseartikeln, Abhandlungen, Lexika und auch Theaterstücken die <e2>Aufklärer</e2><rel>verunglimpfen, um ihnen ihre herausragende Rolle im wissenschaftlichen und kulturellen Bereich streitig zu machen, ist cs das Anliegen der apologistes, vom katholischen oder protestantischen Standpunkt aus die Angriffe gegen die christlichen Dogmen zu entkräften.] Dies geschieht oft von der Kanzel herab, vor allem jedoch in den zahlreichen Schriften zur Widerlegung aufklärerischer Ideen, ferner in den „</rel><e1>Nouvelles ecclésiastiques</e1>“ der Jansenisten und dem .Journal de Trévoux“ der Jesuiten, welche die Werke der Aufklärer in Verteidigung ihres Glaubens scharf attackieren.;Nouvelles ecclésiastiques about Aufklärung;about;SH;;Nouvelles ecclésiastiques;verunglimpfen, um ihnen ihre herausragende Rolle im wissenschaftlichen und kulturellen Bereich streitig zu machen, ist cs das Anliegen der apologistes, vom katholischen oder protestantischen Standpunkt aus die Angriffe gegen die christlichen Dogmen zu entkräften.] Dies geschieht oft von der Kanzel herab, vor allem jedoch in den zahlreichen Schriften zur Widerlegung aufklärerischer Ideen, ferner in den „;Aufklärer;
Bauer-Funke, Cerstin;Die französische Literatur des 18. Jahrhunderts: Historische Entwicklung;9;[Während die anti-philosophes mit ihren Presseartikeln, Abhandlungen, Lexika und auch Theaterstücken die Aufklärer verunglimpfen, um ihnen ihre herausragende Rolle im wissenschaftlichen und kulturellen Bereich streitig zu machen, ist cs das Anliegen der apologistes, vom katholischen oder protestantischen Standpunkt aus die Angriffe gegen die christlichen Dogmen zu entkräften.] Dies geschieht oft von der Kanzel herab, vor allem jedoch in den zahlreichen Schriften zur Widerlegung aufklärerischer Ideen, ferner in den „<e1>Nouvelles ecclésiastiques</e1><rel>“ der Jansenisten und dem .Journal de Trévoux“ der Jesuiten, welche die Werke der Aufklärer in Verteidigung ihres</rel> <e2>Glaubens</e2> scharf attackieren.;Nouvelles ecclésiastiques about Religion;about;SH;;Nouvelles ecclésiastiques;“ der Jansenisten und dem .Journal de Trévoux“ der Jesuiten, welche die Werke der Aufklärer in Verteidigung ihres;Glaubens;
Bauer-Funke, Cerstin;Die französische Literatur des 18. Jahrhunderts: Historische Entwicklung;9;[Während die anti-philosophes mit ihren Presseartikeln, Abhandlungen, Lexika und auch Theaterstücken die <e2>Aufklärer</e2><rel>verunglimpfen, um ihnen ihre herausragende Rolle im wissenschaftlichen und kulturellen Bereich streitig zu machen, ist cs das Anliegen der apologistes, vom katholischen oder protestantischen Standpunkt aus die Angriffe gegen die christlichen Dogmen zu entkräften.] Dies geschieht oft von der Kanzel herab, vor allem jedoch in den zahlreichen Schriften zur Widerlegung aufklärerischer Ideen, ferner in den „Nouvelles ecclésiastiques“ der Jansenisten und dem .</rel><e1>Journal de Trévoux</e1>“ der Jesuiten, welche die Werke der Aufklärer in Verteidigung ihres Glaubens scharf attackieren.;Journal de Trévoux about Aufklärung;about;SH;;Journal de Trévoux;verunglimpfen, um ihnen ihre herausragende Rolle im wissenschaftlichen und kulturellen Bereich streitig zu machen, ist cs das Anliegen der apologistes, vom katholischen oder protestantischen Standpunkt aus die Angriffe gegen die christlichen Dogmen zu entkräften.] Dies geschieht oft von der Kanzel herab, vor allem jedoch in den zahlreichen Schriften zur Widerlegung aufklärerischer Ideen, ferner in den „Nouvelles ecclésiastiques“ der Jansenisten und dem .;Aufklärer;
Bauer-Funke, Cerstin;Die französische Literatur des 18. Jahrhunderts: Historische Entwicklung;9;[Während die anti-philosophes mit ihren Presseartikeln, Abhandlungen, Lexika und auch Theaterstücken die Aufklärer verunglimpfen, um ihnen ihre herausragende Rolle im wissenschaftlichen und kulturellen Bereich streitig zu machen, ist cs das Anliegen der apologistes, vom katholischen oder protestantischen Standpunkt aus die Angriffe gegen die christlichen Dogmen zu entkräften.] Dies geschieht oft von der Kanzel herab, vor allem jedoch in den zahlreichen Schriften zur Widerlegung aufklärerischer Ideen, ferner in den „Nouvelles ecclésiastiques“ der Jansenisten und dem .<e1>Journal de Trévoux</e1><rel>“ der Jesuiten, welche die Werke der Aufklärer in Verteidigung ihres</rel> <e2>Glaubens</e2> scharf attackieren.;Journal de Trévoux about Religion;about;SH;;Journal de Trévoux;“ der Jesuiten, welche die Werke der Aufklärer in Verteidigung ihres;Glaubens;
Bauer-Funke, Cerstin;Die französische Literatur des 18. Jahrhunderts: Historische Entwicklung;12;Als Hauptvertreter der Literatur der <e2>Voraufklärung</e2><rel>(1680/85 bis 1715) und als Wegbereiter der Aufklärung gelten </rel><e1>Pierre Bayle</e1>, der Frankreich nach der Aufhebung des Ediktes 1685 verläßt, und Fontenelle, der - wie erwähnt - auf Seiten der Modernen für ein fortschrittsorientiertes Geschicbts- und Kunstverständnis plädiert.;Pierre Bayle topicInterest Aufklärung;topicInterest;SH;;Pierre Bayle;(1680/85 bis 1715) und als Wegbereiter der Aufklärung gelten ;Voraufklärung;
Bauer-Funke, Cerstin;Die französische Literatur des 18. Jahrhunderts: Historische Entwicklung;12;Als Hauptvertreter der Literatur der <e2>Voraufklärung</e2><rel>(1680/85 bis 1715) und als Wegbereiter der Aufklärung gelten Pierre Bayle, der Frankreich nach der Aufhebung des Ediktes 1685 verläßt, und </rel><e1>Fontenelle</e1>, der - wie erwähnt - auf Seiten der Modernen für ein fortschrittsorientiertes Geschicbts- und Kunstverständnis plädiert.;Bernard le Bovier de Fontenelle topicInterest Aufklärung;topicInterest;SH;;Fontenelle;(1680/85 bis 1715) und als Wegbereiter der Aufklärung gelten Pierre Bayle, der Frankreich nach der Aufhebung des Ediktes 1685 verläßt, und ;Voraufklärung;
Bauer-Funke, Cerstin;Die französische Literatur des 18. Jahrhunderts: Historische Entwicklung;12;Als Hauptvertreter der Literatur der Voraufklärung (1680/85 bis 1715) und als Wegbereiter der Aufklärung gelten Pierre Bayle, der Frankreich nach der Aufhebung des Ediktes 1685 verläßt, und <e1>Fontenelle</e1><rel> der - wie erwähnt - auf Seiten der Modernen für ein </rel><e2>fortschrittsorientiertes Geschichts- und Kunstverständnis</e2> plädiert.;Bernard le Bovier de Fontenelle topicInterest Fortschritt;topicInterest;SH;;Fontenelle; der - wie erwähnt - auf Seiten der Modernen für ein ;fortschrittsorientiertes Geschichts- und Kunstverständnis;
Bauer-Funke, Cerstin;Die französische Literatur des 18. Jahrhunderts: Historische Entwicklung;12;Als Hauptvertreter der Literatur der Voraufklärung (1680/85 bis 1715) und als Wegbereiter der Aufklärung gelten Pierre Bayle, der Frankreich nach der Aufhebung des Ediktes 1685 verläßt, und <e1>Fontenelle</e1><rel> der - wie erwähnt - auf Seiten der Modernen für ein fortschrittsorientiertes </rel><e2>Geschichts- und Kunstverständnis</e2> plädiert.;Bernard le Bovier de Fontenelle topicInterest Geschichte;topicInterest;SH;;Fontenelle; der - wie erwähnt - auf Seiten der Modernen für ein fortschrittsorientiertes ;Geschichts- und Kunstverständnis;
Bauer-Funke, Cerstin;Die französische Literatur des 18. Jahrhunderts: Historische Entwicklung;12;Als Hauptvertreter der Literatur der Voraufklärung (1680/85 bis 1715) und als Wegbereiter der Aufklärung gelten Pierre Bayle, der Frankreich nach der Aufhebung des Ediktes 1685 verläßt, und <e1>Fontenelle</e1><rel> der - wie erwähnt - auf Seiten der Modernen für ein fortschrittsorientiertes Geschicbts- und </rel><e2>Kunstverständnis</e2> plädiert.;Bernard le Bovier de Fontenelle topicInterest Kunst;topicInterest;SH;;Fontenelle; der - wie erwähnt - auf Seiten der Modernen für ein fortschrittsorientiertes Geschicbts- und ;Kunstverständnis;
Bauer-Funke, Cerstin;Die französische Literatur des 18. Jahrhunderts: Historische Entwicklung;12;<e1>Bayle</e1><rel> „Nouvelles de la République des lettres“ (1684-87) und sein „Dictionnaire historique et critique“ (1695-97) sowie Fontenelles „Entretiens sur la pluralité des mondes“ (1686) kündigen aufgrund ihrer religions</rel><e2>kritischen und naturwissenschaftlichen Überlegungen</e2> die Aufklärung sowohl ideengeschichtlich als auch methodisch an.;Pierre Bayle topicInterest Kritik;topicInterest;SH;;Bayle; „Nouvelles de la République des lettres“ (1684-87) und sein „Dictionnaire historique et critique“ (1695-97) sowie Fontenelles „Entretiens sur la pluralité des mondes“ (1686) kündigen aufgrund ihrer religions;kritischen und naturwissenschaftlichen Überlegungen;
Bauer-Funke, Cerstin;Die französische Literatur des 18. Jahrhunderts: Historische Entwicklung;12;<e1>Bayle</e1><rel> „Nouvelles de la République des lettres“ (1684-87) und sein „Dictionnaire historique et critique“ (1695-97) sowie Fontenelles „Entretiens sur la pluralité des mondes“ (1686) kündigen aufgrund ihrer religionskritischen und</rel><e2> naturwissenschaftlichen Überlegungen</e2> die Aufklärung sowohl ideengeschichtlich als auch methodisch an.;Pierre Bayle topicInterest Wissenschaft;topicInterest;SH;;Bayle; „Nouvelles de la République des lettres“ (1684-87) und sein „Dictionnaire historique et critique“ (1695-97) sowie Fontenelles „Entretiens sur la pluralité des mondes“ (1686) kündigen aufgrund ihrer religionskritischen und;naturwissenschaftlichen Überlegungen;
Bauer-Funke, Cerstin;Die französische Literatur des 18. Jahrhunderts: Historische Entwicklung;12;Bayles „<e1>Nouvelles de la République des lettres</e1><rel> (1684-87) und sein „Dictionnaire historique et critique“ (1695-97) sowie Fontenelles „Entretiens sur la pluralité des mondes“ (1686) kündigen aufgrund ihrer religions</rel><e2>kritischen und naturwissenschaftlichen Überlegungen</e2> die Aufklärung sowohl ideengeschichtlich als auch methodisch an.;Nouvelles de la République des lettres about Kritik;about;SH;;Nouvelles de la République des lettres; (1684-87) und sein „Dictionnaire historique et critique“ (1695-97) sowie Fontenelles „Entretiens sur la pluralité des mondes“ (1686) kündigen aufgrund ihrer religions;kritischen und naturwissenschaftlichen Überlegungen;
Bauer-Funke, Cerstin;Die französische Literatur des 18. Jahrhunderts: Historische Entwicklung;12;Bayles „<e1>Nouvelles de la République des lettres</e1><rel> (1684-87) und sein „Dictionnaire historique et critique“ (1695-97) sowie Fontenelles „Entretiens sur la pluralité des mondes“ (1686) kündigen aufgrund ihrer religionskritischen und </rel><e2>naturwissenschaftlichen Überlegungen</e2> die Aufklärung sowohl ideengeschichtlich als auch methodisch an.;Nouvelles de la République des lettres about Wissenschaft;about;SH;;Nouvelles de la République des lettres; (1684-87) und sein „Dictionnaire historique et critique“ (1695-97) sowie Fontenelles „Entretiens sur la pluralité des mondes“ (1686) kündigen aufgrund ihrer religionskritischen und;natur wissenschaftlichen Überlegungen;
Bauer-Funke, Cerstin;Die französische Literatur des 18. Jahrhunderts: Historische Entwicklung;12;Bayles „Nouvelles de la République des lettres“ (1684-87) und sein „<e1>Dictionnaire historique et critique</e1><rel> (1695-97) sowie Fontenelles „Entretiens sur la pluralité des mondes“ (1686) kündigen aufgrund ihrer religions</rel><e2>kritischen und naturwissenschaftlichen Überlegungen</e2> die Aufklärung sowohl ideengeschichtlich als auch methodisch an.;Dictionnaire historique et critique about Kritik;about;SH;;Dictionnaire historique et critique; (1695-97) sowie Fontenelles „Entretiens sur la pluralité des mondes“ (1686) kündigen aufgrund ihrer religions;kritischen und naturwissenschaftlichen Überlegungen;
Bauer-Funke, Cerstin;Die französische Literatur des 18. Jahrhunderts: Historische Entwicklung;12;Bayles „Nouvelles de la République des lettres“ (1684-87) und sein „<e1>Dictionnaire historique et critique</e1><rel> (1695-97) sowie Fontenelles „Entretiens sur la pluralité des mondes“ (1686) kündigen aufgrund ihrer religionskritischen und </rel><e2>naturwissenschaftlichen Überlegungen</e2> die Aufklärung sowohl ideengeschichtlich als auch methodisch an.;Dictionnaire historique et critique about Wissenschaft;about;SH;;Dictionnaire historique et critique; (1695-97) sowie Fontenelles „Entretiens sur la pluralité des mondes“ (1686) kündigen aufgrund ihrer religionskritischen und;naturwissenschaftlichen Überlegungen;
Bauer-Funke, Cerstin;Die französische Literatur des 18. Jahrhunderts: Historische Entwicklung;12;Bayles „Nouvelles de la République des lettres“ (1684-87) und sein „Dictionnaire historique et critique“ (1695-97) sowie <e1>Fontenelle</e1><rel> „Entretiens sur la pluralité des mondes“ (1686) kündigen aufgrund ihrer religions</rel><e2>kritischen undnaturwissenschaftlichen Überlegungen</e2>  die Aufklärung sowohl ideengeschichtlich als auch methodisch an.;Bernard le Bovier de Fontenelle topicInterest Kritik;topicInterest;SH;;Fontenelle; „Entretiens sur la pluralité des mondes“ (1686) kündigen aufgrund ihrer religions;kritischen und naturwissenschaftlichen Überlegungen;
Bauer-Funke, Cerstin;Die französische Literatur des 18. Jahrhunderts: Historische Entwicklung;12;Bayles „Nouvelles de la République des lettres“ (1684-87) und sein „Dictionnaire historique et critique“ (1695-97) sowie <e1>Fontenelle</e1><rel> „Entretiens sur la pluralité des mondes“ (1686) kündigen aufgrund ihrer religionskritischen und</rel> <e2>naturwissenschaftlichen Überlegungen</e2> die Aufklärung sowohl ideengeschichtlich als auch methodisch an.;Bernard le Bovier de Fontenelle topicInterest Wissenschaft;topicInterest;SH;;Fontenelle; „Entretiens sur la pluralité des mondes“ (1686) kündigen aufgrund ihrer religionskritischen und;naturwissenschaftlichen Überlegungen;
Bauer-Funke, Cerstin;Die französische Literatur des 18. Jahrhunderts: Historische Entwicklung;12;Bayles „Nouvelles de la République des lettres“ (1684-87) und sein „Dictionnaire historique et critique“ (1695-97) sowie Fontenelles „<e1>Entretiens sur la pluralité des mondes</e1><rel>“ (1686) kündigen aufgrund ihrer</rel> <e2>religionskritischen und naturwissenschaftlichen Überlegungen</e2> die Aufklärung sowohl ideengeschichtlich als auch methodisch an.;Entretiens sur la pluralité des mondes about Kritik;topicInterest;SH;;Entretiens sur la pluralité des mondes;“ (1686) kündigen aufgrund ihrer;religionskritischen und naturwissenschaftlichen Überlegungen;
Bauer-Funke, Cerstin;Die französische Literatur des 18. Jahrhunderts: Historische Entwicklung;12;Bayles „Nouvelles de la République des lettres“ (1684-87) und sein „Dictionnaire historique et critique“ (1695-97) sowie Fontenelles „<e1>Entretiens sur la pluralité des mondes</e1> <rel>“ (1686) kündigen aufgrund ihrer religionskritischen und</rel> <e2>naturwissenschaftlichen Überlegungen</e2> die Aufklärung sowohl ideengeschichtlich als auch methodisch an.;Entretiens sur la pluralité des mondes about Wissenschaft;topicInterest;SH;;Entretiens sur la pluralité des mondes;“ (1686) kündigen aufgrund ihrer religionskritischen und;naturwissenschaftlichen Überlegungen;
Bauer-Funke, Cerstin;Die französische Literatur des 18. Jahrhunderts: Historische Entwicklung;13;Neben der großen Wirkung Bayles und Fontenelles gelangen <e2>politische, naturwissenschaftliche und religionsphilosophische Gedanken</e2> <rel>englischer Philosophen (</rel><e1>Hume</e1>, Locke) durch die Vermittlung Montesquicus und Voltaires in Frankreich in Umlauf.;David Hume topicInterest Politik;topicInterest;SH;;Hume;englischer Philosophen (;politische, naturwissenschaftliche und religionsphilosophische Gedanken;
Bauer-Funke, Cerstin;Die französische Literatur des 18. Jahrhunderts: Historische Entwicklung;13;Neben der großen Wirkung Bayles und Fontenelles gelangen politische, <e2>naturwissenschaftliche undreligionsphilosophische Gedanken</e2><rel> englischer Philosophen (</rel><e1>Hume</e1>, Locke) durch die Vermittlung Montesquicus und Voltaires in Frankreich in Umlauf.;David Hume topicInterest Wissenschaft;topicInterest;SH;;Hume;englischer Philosophen (;wissenschaftliche und religionsphilosophische Gedanken;
Bauer-Funke, Cerstin;Die französische Literatur des 18. Jahrhunderts: Historische Entwicklung;13;Neben der großen Wirkung Bayles und Fontenelles gelangen politische, naturwissenschaftliche und <e2>religionsphilosophische Gedanken</e2><rel>englischer Philosophen (</rel><e1>Hume</e1>, Locke) durch die Vermittlung Montesquicus und Voltaires in Frankreich in Umlauf.;David Hume topicInterest Religion;topicInterest;SH;;Hume;englischer Philosophen (;religionsphilosophische Gedanken;
Bauer-Funke, Cerstin;Die französische Literatur des 18. Jahrhunderts: Historische Entwicklung;13;Neben der großen Wirkung Bayles und Fontenelles gelangen <e2> politische, naturwissenschaftliche und religionsphilosophische Gedanken</e2> <rel> englischer Philosophen (Hume, </rel><e1>Locke</e1>) durch die Vermittlung Montesquicus und Voltaires in Frankreich in Umlauf.;John Locke topicInterest Politik;topicInterest;SH;;Locke; englischer Philosophen (Hume, ; politische, naturwissenschaftliche und religionsphilosophische Gedanken;
Bauer-Funke, Cerstin;Die französische Literatur des 18. Jahrhunderts: Historische Entwicklung;13;Neben der großen Wirkung Bayles und Fontenelles gelangen politische, <e2>naturwissenschaftliche und</e2><rel>religionsphilosophische Gedanken englischer Philosophen (Hume, </rel><e1>Locke</e1>) durch die Vermittlung Montesquicus und Voltaires in Frankreich in Umlauf.;John Locke topicInterest Wissenschaft;topicInterest;SH;;Locke;religionsphilosophische Gedanken englischer Philosophen (Hume, ;naturwissenschaftliche und;
Bauer-Funke, Cerstin;Die französische Literatur des 18. Jahrhunderts: Historische Entwicklung;13;Neben der großen Wirkung Bayles und Fontenelles gelangen politische, naturwissenschaftliche und <e2>religionsphilosophische Gedanken</e2><rel>englischer Philosophen (Hume, </rel><e1>Locke</e1>) durch die Vermittlung Montesquicus und Voltaires in Frankreich in Umlauf.;John Locke topicInterest Religion;topicInterest;SH;;Locke;englischer Philosophen (Hume, ;religionsphilosophische Gedanken;
Bauer-Funke, Cerstin;Die französische Literatur des 18. Jahrhunderts: Historische Entwicklung;13;Neben der großen Wirkung Bayles und Fontenelles gelangen <e1>politische, naturwissenschaftliche und religionsphilosophische Gedanken</e1> <rel>englischer Philosophen (Hume, Locke) durch die Vermittlung</rel> <e1>Montesquicus</e1> und Voltaires in Frankreich in Umlauf.;Montesquieu topicInterest Politik;topicInterest;SH;;Montesquicus;englischer Philosophen (Hume, Locke) durch die Vermittlung;politische, naturwissenschaftliche und religionsphilosophische Gedanken;
Bauer-Funke, Cerstin;Die französische Literatur des 18. Jahrhunderts: Historische Entwicklung;13;Neben der großen Wirkung Bayles und Fontenelles gelangen politische, <e2>naturwissenschaftliche und religionsphilosophische Gedanken</e2><rel> englischer Philosophen (Hume, Locke) durch die Vermittlung </rel><e1>Montesquicus</e1> und Voltaires in Frankreich in Umlauf.;Montesquieu topicInterest Wissenschaft;topicInterest;SH;;Montesquicus; englischer Philosophen (Hume, Locke) durch die Vermittlung ;naturwissenschaftliche und religionsphilosophische Gedanken;
Bauer-Funke, Cerstin;Die französische Literatur des 18. Jahrhunderts: Historische Entwicklung;13;Neben der großen Wirkung Bayles und Fontenelles gelangen politische, naturwissenschaftliche und <e2>religionsphilosophische Gedanken</e2><rel> englischer Philosophen (Hume, Locke) durch die Vermittlung </rel><e1>Montesquicus</e1> und Voltaires in Frankreich in Umlauf.;Montesquieu topicInterest Religion;topicInterest;SH;;Montesquicus; englischer Philosophen (Hume, Locke) durch die Vermittlung ;religionsphilosophische Gedanken;
