Unnamed: 0;Autor;Titel;Seite;Passage;Aussage;Code des Typs;Annotator/in;E1;Relation;E2;Anmerkung;POST
10;"Grimm, Jürgen; Hartwig, Susanne";Französische Literaturgeschichte. Von der Aufklärung bis zur Französischen Revolution.;197;"Vor allem in der zweiten Jahrhunderthälfte formiert sich eine erhebliche Opposition, die Gegenaufklärung (<e1>Charles Palissot</e1><rel> Les philosophes, 1760; Élie Catherine Fréron; </rel><e2>Nicolas-Sylvestre Bergier</e2>).";Charles Palissot IsRelatedTo Nicolas-Sylvestre Bergier;IsRelatedTo;SH;Charles Palissot;" Les philosophes, 1760; Élie Catherine Fréron; ";Nicolas-Sylvestre Bergier;;RSU
11;"Grimm, Jürgen; Hartwig, Susanne";Französische Literaturgeschichte. Von der Aufklärung bis zur Französischen Revolution.;197;"Vor allem in der zweiten Jahrhunderthälfte formiert sich eine erhebliche Opposition, die Gegenaufklärung (Charles Palissot, Les philosophes, 1760; <e1>Élie Catherine Fréron</e1><rel> </rel><e2>Nicolas-Sylvestre Bergier</e2>).";Élie Catherine Fréron IsRelatedTo Nicolas-Sylvestre Bergier;IsRelatedTo;SH;Élie Catherine Fréron; ;Nicolas-Sylvestre Bergier;;RTS
12;"Grimm, Jürgen; Hartwig, Susanne";Französische Literaturgeschichte. Von der Aufklärung bis zur Französischen Revolution.;197;"Die Selbstbezeichnung als ›<e2>philosophes</e2>‹ <rel>wird in Frankreich von</rel> <e1>Zeitgenossen</e1> lanciert und oft erläutert (César Dumarsais, Le philosophe, 1730; weitere Aufl. 1743 und 1765).";Zeitgenossen HAT REZIPIERT* Philosophes;HAT REZIPIERT;SH;Zeitgenossen;wird in Frankreich von;philosophes;*? *in Frankreich;RSU
13;"Grimm, Jürgen; Hartwig, Susanne";Französische Literaturgeschichte. Von der Aufklärung bis zur Französischen Revolution.;197;"Die Selbstbezeichnung als ›philosophes‹ wird in Frankreich von Zeitgenossen lanciert und oft erläutert (<e1>César Dumarsais</e1><rel> </rel><e2>Le philosophe</e2>, 1730; weitere Aufl. 1743 und 1765).";César Dumarsais author Le philosophe;author;SH;César Dumarsais; ;Le philosophe;;RTS
14;"Grimm, Jürgen; Hartwig, Susanne";Französische Literaturgeschichte. Von der Aufklärung bis zur Französischen Revolution.;197;"Die Selbstbezeichnung als ›philosophes‹ wird in Frankreich von Zeitgenossen lanciert und oft erläutert (César Dumarsais, <e1>Le philosophe</e1><rel> </rel><e2>1730</e2>; weitere Aufl. 1743 und 1765).";Le philosophe date of publication 1730;date of publication;SH;Le philosophe; ;1730;;RTS
15;"Grimm, Jürgen; Hartwig, Susanne";Französische Literaturgeschichte. Von der Aufklärung bis zur Französischen Revolution.;197;[Die epochale Lichtmetaphorik bahnt sich bereits in der zweiten Hälfte des 17. Jh.s ihren Weg. Sie ist ursprünglich biblisch, im theologischen und spirituellen Schrifttum überliefert und tritt zunehmend in der Bedeutung des menschlichen Verstandes als eines ›lumen naturale/rationale‹ auf.] Dies gilt für René Descartes und den Cartesianer Nicolas Malebranche und insbesondere auch für den Frühaufklärer Pierre Bayle.;René Descartes InstanceOf? lumen naturale/rationale;InstanceOf*;SH;;;;*anderes Prädikat?;ND
16;"Grimm, Jürgen; Hartwig, Susanne";Französische Literaturgeschichte. Von der Aufklärung bis zur Französischen Revolution.;197;[Die epochale Lichtmetaphorik bahnt sich bereits in der zweiten Hälfte des 17. Jh.s ihren Weg. Sie ist ursprünglich biblisch, im theologischen und spirituellen Schrifttum überliefert und tritt zunehmend in der Bedeutung des menschlichen Verstandes als eines ›lumen naturale/rationale‹ auf.] Dies gilt für René Descartes und den Cartesianer Nicolas Malebranche und insbesondere auch für den Frühaufklärer Pierre Bayle.;Nicolas Malebranche InstanceOf? lumen naturale/rationale;InstanceOf*;SH;;;;*anderes Prädikat?;ND
17;"Grimm, Jürgen; Hartwig, Susanne";Französische Literaturgeschichte. Von der Aufklärung bis zur Französischen Revolution.;197;[Die epochale Lichtmetaphorik bahnt sich bereits in der zweiten Hälfte des 17. Jh.s ihren Weg. Sie ist ursprünglich biblisch, im theologischen und spirituellen Schrifttum überliefert und tritt zunehmend in der Bedeutung des menschlichen Verstandes als eines ›lumen naturale/rationale‹ auf.] Dies gilt für René Des<e2>cartes und</e2><rel>den Cartesianer </rel><e1>Nicolas Malebranche</e1> und insbesondere auch für den Frühaufklärer Pierre Bayle.;Nicolas Malebranche describedAs Cartesianer;describedAs;SH;Nicolas Malebranche;den Cartesianer ;cartes und;;RTS
18;"Grimm, Jürgen; Hartwig, Susanne";Französische Literaturgeschichte. Von der Aufklärung bis zur Französischen Revolution.;197;[Die epochale Lichtmetaphorik bahnt sich bereits in der zweiten Hälfte des 17. Jh.s ihren Weg. Sie ist ursprünglich biblisch, im theologischen und spirituellen Schrifttum überliefert und tritt zunehmend in der Bedeutung des menschlichen Verstandes als eines ›lumen naturale/rationale‹ auf.] Dies gilt für René Descartes und den Cartesianer Nicolas Malebranche und insbesondere auch für den Frühaufklärer Pierre Bayle.;Pierre Bayle InstanceOf? lumen naturale/rationale;InstanceOf*;SH;;;;*anderes Prädikat?;ND
19;"Grimm, Jürgen; Hartwig, Susanne";Französische Literaturgeschichte. Von der Aufklärung bis zur Französischen Revolution.;197;[Die epochale Lichtmetaphorik bahnt sich bereits in der zweiten Hälfte des 17. Jh.s ihren Weg. Sie ist ursprünglich biblisch, im theologischen und spirituellen Schrifttum überliefert und tritt zunehmend in der Bedeutung des menschlichen Verstandes als eines ›lumen naturale/rationale‹ auf.] Dies gilt für René Descartes und den Cartesianer Nicolas Malebranche und insbesondere auch für den <e2>Frühaufklärer</e2><rel></rel><e1>Pierre Bayle</e1>.;Pierre Bayle describedAs Frühaufklärer;describedAs;SH;Pierre Bayle;;Frühaufklärer;;RTS
20;"Grimm, Jürgen; Hartwig, Susanne";Französische Literaturgeschichte. Von der Aufklärung bis zur Französischen Revolution.;197;"Schon im späten 17. Jh. ist die Epochenmetapher konventionalisiert; bei <e1>Charles Sorel</e1><rel>liest man in einem Text des Jahres 1671: »Ce siècle est bien éclairé, car on n’y entend parler que de </rel><e2>lumières</e2>.«";Charles Sorel MACHT AUSSAGE ÜBER Les Lumières;MACHT AUSSAGE ÜBER;SH;Charles Sorel;liest man in einem Text des Jahres 1671: »Ce siècle est bien éclairé, car on n’y entend parler que de ;lumières;;RSU
21;"Grimm, Jürgen; Hartwig, Susanne";Französische Literaturgeschichte. Von der Aufklärung bis zur Französischen Revolution.;197;[In der ersten Hälfte des 18. Jh.s sind die Bezeichnungen ›<e2>les Lumières</e2><rel> (als Epochenmetapher) und ›éclairer/éclairé‹ geläufig.] Der Siegeszug der Metapher gipfelt in der </rel><e1>Encyclopédie</e1>, die die Welt in toto aufklärerisch durchbuchstabieren, jeden Ort der Welt und jeden Topos ausleuchten soll.;Encyclopédie main Subject Les Lumières;main Subject;SH;Encyclopédie; (als Epochenmetapher) und ›éclairer/éclairé‹ geläufig.] Der Siegeszug der Metapher gipfelt in der ;les Lumières;;
22;"Grimm, Jürgen; Hartwig, Susanne";Französische Literaturgeschichte. Von der Aufklärung bis zur Französischen Revolution.;197;[In der ersten Hälfte des 18. Jh.s sind die Bezeichnungen ›les Lumières‹ (als Epochenmetapher) und ›éclairer/éclairé‹ geläufig.] Der Siegeszug der Metapher gipfelt in der <e1>Encyclopédie</e1><rel> die die Welt in toto </rel><e2>aufklärerisch</e2> durchbuchstabieren, jeden Ort der Welt und jeden Topos ausleuchten soll.;Encyclopédie describedAs aufklärerisch;describedAs;SH;Encyclopédie; die die Welt in toto ;aufklärerisch;;RSU
23;"Grimm, Jürgen; Hartwig, Susanne";Französische Literaturgeschichte. Von der Aufklärung bis zur Französischen Revolution.;197;[In der ersten Hälfte des 18. Jh.s sind die Bezeichnungen ›les Lumières‹ (als Epochenmetapher) und ›éclairer/éclairé‹ geläufig.] Der Siegeszug der Metapher gipfelt in der <e1>Encyclopédie</e1><rel>, die die Welt in toto aufklärerisch durchbuchstabieren, jeden Ort der</rel> <e2>Welt</e2> und jeden Topos ausleuchten soll.;Encyclopédie main Subject (jeder Ort der) Welt;main Subject;SH;Encyclopédie;, die die Welt in toto aufklärerisch durchbuchstabieren, jeden Ort der;Welt;;
24;"Grimm, Jürgen; Hartwig, Susanne";Französische Literaturgeschichte. Von der Aufklärung bis zur Französischen Revolution.;197;[In der ersten Hälfte des 18. Jh.s sind die Bezeichnungen ›les Lumières‹ (als Epochenmetapher) und ›éclairer/éclairé‹ geläufig.] Der Siegeszug der Metapher gipfelt in der <e1>Encyclopédie</e1><rel> die die Welt in toto aufklärerisch durchbuchstabieren, jeden Ort der Welt und jeden </rel><e2>Topos</e2> ausleuchten soll.;Encyclopédie main Subject jedes Topos;main Subject;SH;Encyclopédie; die die Welt in toto aufklärerisch durchbuchstabieren, jeden Ort der Welt und jeden ;Topos;;
25;"Grimm, Jürgen; Hartwig, Susanne";Französische Literaturgeschichte. Von der Aufklärung bis zur Französischen Revolution.;198;Die <e2>Aufklärung</e2><rel>ist ein genuin europäisches Projekt, allerdings mit deutlich unterschiedlichen nationalen Profilen und »unscharfen Rändern« (</rel><e1>W. Schneiders</e1>).;W. Schneiders MACHT AUSSAGE ÜBER Aufklärung;MACHT AUSSAGE ÜBER;SH;W. Schneiders;ist ein genuin europäisches Projekt, allerdings mit deutlich unterschiedlichen nationalen Profilen und »unscharfen Rändern« (;Aufklärung;;
26;"Grimm, Jürgen; Hartwig, Susanne";Französische Literaturgeschichte. Von der Aufklärung bis zur Französischen Revolution.;198;Begünstigt wird die <e2>Aufklärungsbewegung</e2> <rel>in Frankreich durch</rel> <e1>Descartes</e1>, den Cartesianismus, den Rationalismus in der zweiten Hälfte des 17. Jh.s, die 1684 ausbrechende ›querelle des anciens et des modernes‹ mit ihrer Traditionskritik und ihrer Idee vom Fortschritt, die Bibelkritik Richard Simons, den Skeptizismus und den Libertinismus (La Mothe Le Vayer, Saint-Évremond, Bayle) – Tendenzen und Innovationen mit tiefgreifenden epistemologischen und methodologischen Konsequenzen.;Descartes poltical ideology* „Aufklärung“;ideology;SH;Descartes;in Frankreich durch;Aufklärungsbewegung;*?;
27;"Grimm, Jürgen; Hartwig, Susanne";Französische Literaturgeschichte. Von der Aufklärung bis zur Französischen Revolution.;198;Begünstigt wird die Aufklärungsbewegung in Frankreich durch Descartes, den Cartesianismus, den Rationalismus in der zweiten Hälfte des 17. Jh.s, die 1684 ausbrechende ›querelle des anciens et des modernes‹ mit ihrer Traditionskritik und ihrer Idee vom Fortschritt, die <e2>Bibelkritik</e2><rel></rel><e1>Richard Simon</e1>s, den Skeptizismus und den Libertinismus (La Mothe Le Vayer, Saint-Évremond, Bayle) – Tendenzen und Innovationen mit tiefgreifenden epistemologischen und methodologischen Konsequenzen.;Richard Simon describedAs Bibelkritiker;describedAs;SH;Richard Simon;;Bibelkritik;;RTS
28;"Grimm, Jürgen; Hartwig, Susanne";Französische Literaturgeschichte. Von der Aufklärung bis zur Französischen Revolution.;198;Begünstigt wird die Aufklärungsbewegung in Frankreich durch Descartes, den Cartesianismus, den Rationalismus in der zweiten Hälfte des 17. Jh.s, die 1684 ausbrechende ›querelle des anciens et des modernes‹ mit ihrer Traditionskritik und ihrer Idee vom Fortschritt, die Bibelkritik Richard Simons, den Skeptizismus und den Libertinismus (<e1>La Mothe Le Vayer</e1>, Saint-Évremond, Bayle) – Tendenzen und Innovationen mit tiefgreifenden epistemologischen und methodologischen Konsequenzen.;La Mothe Le Vayer political ideology „Libertinismus“;ideology;SH;La Mothe Le Vayer;;Not Found;;RTS
29;"Grimm, Jürgen; Hartwig, Susanne";Französische Literaturgeschichte. Von der Aufklärung bis zur Französischen Revolution.;198;Begünstigt wird die Aufklärungsbewegung in Frankreich durch Descartes, den Cartesianismus, den Rationalismus in der zweiten Hälfte des 17. Jh.s, die 1684 ausbrechende ›querelle des anciens et des modernes‹ mit ihrer Traditionskritik und ihrer Idee vom Fortschritt, die Bibelkritik Richard Simons, den Skeptizismus und den <e2>Libertinismus</e2> <rel>(La Mothe Le Vayer,</rel> <e1>Saint-Évremond</e1>, Bayle) – Tendenzen und Innovationen mit tiefgreifenden epistemologischen und methodologischen Konsequenzen.;Saint-Évremond political ideology „Libertinismus“;ideology;SH;Saint-Évremond;(La Mothe Le Vayer,;Libertinismus;;RSU
30;"Grimm, Jürgen; Hartwig, Susanne";Französische Literaturgeschichte. Von der Aufklärung bis zur Französischen Revolution.;198;Begünstigt wird die Aufklärungsbewegung in Frankreich durch Descartes, den Cartesianismus, den Rationalismus in der zweiten Hälfte des 17. Jh.s, die 1684 ausbrechende ›querelle des anciens et des modernes‹ mit ihrer Traditionskritik und ihrer Idee vom Fortschritt, die Bibelkritik Richard Simons, den Skeptizismus und den <e2>Libertinismus</e2> <rel>(La Mothe Le Vayer, Saint-Évremond,</rel> <e1>Bayle</e1>) – Tendenzen und Innovationen mit tiefgreifenden epistemologischen und methodologischen Konsequenzen.;Pierre Bayle political ideology „Libertinismus“;ideology;SH;Bayle;(La Mothe Le Vayer, Saint-Évremond,;Bayle;;RSU
31;"Grimm, Jürgen; Hartwig, Susanne";Französische Literaturgeschichte. Von der Aufklärung bis zur Französischen Revolution.;198;Begünstigt wird die Aufklärungsbewegung in Frankreich durch Descartes, den Cartesianismus, den Rationalismus in der zweiten Hälfte des 17. Jh.s, die 1684 ausbrechende ›querelle des anciens et des modernes‹ mit ihrer Traditionskritik und ihrer Idee vom Fortschritt, die Bibelkritik Richard Simons, den Skeptizismus und den Libertinismus (<e1>La Mothe Le Vayer</e1><rel> </rel><e2>Saint</e2>-Évremond, Bayle) – Tendenzen und Innovationen mit tiefgreifenden epistemologischen und methodologischen Konsequenzen.;La Mothe Le Vayer IsRelatedTo Saint-Évremond;IsRelatedTo;SH;La Mothe Le Vayer; ;Saint;;RTS
32;"Grimm, Jürgen; Hartwig, Susanne";Französische Literaturgeschichte. Von der Aufklärung bis zur Französischen Revolution.;198;Begünstigt wird die Aufklärungsbewegung in Frankreich durch Descartes, den Cartesianismus, den Rationalismus in der zweiten Hälfte des 17. Jh.s, die 1684 ausbrechende ›querelle des anciens et des modernes‹ mit ihrer Traditionskritik und ihrer Idee vom Fortschritt, die Bibelkritik Richard Simons, den Skeptizismus und den Libertinismus (<e1>La Mothe Le Vayer</e1><rel> Saint-Évremond, </rel><e2>Bayle</e2>) – Tendenzen und Innovationen mit tiefgreifenden epistemologischen und methodologischen Konsequenzen.;La Mothe Le Vayer IsRelatedTo Pierre Bayle;IsRelatedTo;SH;La Mothe Le Vayer; Saint-Évremond, ;Bayle;;RSU
33;"Grimm, Jürgen; Hartwig, Susanne";Französische Literaturgeschichte. Von der Aufklärung bis zur Französischen Revolution.;198;Begünstigt wird die Aufklärungsbewegung in Frankreich durch Descartes, den Cartesianismus, den Rationalismus in der zweiten Hälfte des 17. Jh.s, die 1684 ausbrechende ›querelle des anciens et des modernes‹ mit ihrer Traditionskritik und ihrer Idee vom Fortschritt, die Bibelkritik Richard Simons, den Skeptizismus und den Libertinismus (La Mothe Le Vayer, <e1>Saint-Évremond</e1><rel> </rel><e2>Bayle</e2>) – Tendenzen und Innovationen mit tiefgreifenden epistemologischen und methodologischen Konsequenzen.;Saint-Évremond IsRelatedTo Pierre Bayle;IsRelatedTo;SH;Saint-Évremond; ;Bayle;;RTS
34;"Grimm, Jürgen; Hartwig, Susanne";Französische Literaturgeschichte. Von der Aufklärung bis zur Französischen Revolution.;198;Unter den europäischen Einflussfaktoren sind generell die <e2>englischen hervorzuheben</e2><rel> vor allem </rel><e1>John Locke</e1> mit seiner empiristischen Philosophie und seiner Toleranztheorie, der englische Deismus und die ›free-thinkers‹ (Matthew Tindal, Anthony Collins).;John Locke nationality England;nationality;SH;John Locke; vor allem ;englischen hervorzuheben;;
35;"Grimm, Jürgen; Hartwig, Susanne";Französische Literaturgeschichte. Von der Aufklärung bis zur Französischen Revolution.;198;Unter den europäischen Einflussfaktoren sind generell die englischen hervorzuheben, vor allem <e2>John Locke</e2> mit seiner empiristischen Philosophie und seiner Toleranztheorie, der englische Deismus und die ›free-thinkers‹ (Matthew Tindal, Anthony Collins).;Aufklärung* InfluencedBy John Locke;InfluencedBy;SH;Not Foundz;;John Locke;*geht das hier?;ND
36;"Grimm, Jürgen; Hartwig, Susanne";Französische Literaturgeschichte. Von der Aufklärung bis zur Französischen Revolution.;198;Unter den europäischen Einflussfaktoren sind generell die englischen hervorzuheben, vor allem <e1>John Locke</e1> <rel>mit seiner</rel> <e2>empiristischen Philosophie</e2> und seiner Toleranztheorie, der englische Deismus und die ›free-thinkers‹ (Matthew Tindal, Anthony Collins).;John Locke ideology „Empirismus“;ideology;SH;John Locke;mit seiner;empiristischen Philosophie;;
37;"Grimm, Jürgen; Hartwig, Susanne";Französische Literaturgeschichte. Von der Aufklärung bis zur Französischen Revolution.;198;Unter den europäischen Einflussfaktoren sind generell die englischen hervorzuheben, vor allem <e1>John Locke</e1> <rel>mit seiner empiristischen Philosophie und seiner</rel> <e2></e2>, der englische Deismus und die ›free-thinkers‹ (Matthew Tindal, Anthony Collins).;John Locke ideology „Toleranz“*;ideology;SH;John Locke;mit seiner empiristischen Philosophie und seiner;Toleranztheorie;*Toleranz = Ideologie?;
38;"Grimm, Jürgen; Hartwig, Susanne";Französische Literaturgeschichte. Von der Aufklärung bis zur Französischen Revolution.;198;Unter den europäischen Einflussfaktoren sind generell die englischen hervorzuheben, vor allem John Locke mit seiner empiristischen Philosophie und seiner Toleranztheorie, der englische Deismus und die ›free-thinkers‹ (<e1>Matthew Tindal</e1>, Anthony Collins).;Matthew Tindal describedAs free-thinker;describedAs;SH;Matthew Tindal;;;;RTS
39;"Grimm, Jürgen; Hartwig, Susanne";Französische Literaturgeschichte. Von der Aufklärung bis zur Französischen Revolution.;198;Unter den europäischen Einflussfaktoren sind generell die englischen hervorzuheben, vor allem John Locke mit seiner empiristischen Philosophie und seiner Toleranztheorie, der englische Deismus und die ›<e2>free-thinkers</e2><rel>‹ (Matthew Tindal,</rel> <e1>Anthony Collins</e1>).;Anthony Collins describedAs free-thinker;describedAs;SH;Anthony Collins;‹ (Matthew Tindal,;free-thinkers;;RSU
40;"Grimm, Jürgen; Hartwig, Susanne";Französische Literaturgeschichte. Von der Aufklärung bis zur Französischen Revolution.;198;Unter den europäischen Einflussfaktoren sind generell die englischen hervorzuheben, vor allem John Locke mit seiner empiristischen Philosophie und seiner Toleranztheorie, der englische Deismus und die ›free-thinkers‹ (<e1>Matthew Tindal</e1><rel> </rel><e2>Anthony Collins</e2>).;Matthew Tindal IsRelatedTo Anthony Collins;IsRelatedTo;SH;Matthew Tindal; ;Anthony Collins;;RTS
41;"Grimm, Jürgen; Hartwig, Susanne";Französische Literaturgeschichte. Von der Aufklärung bis zur Französischen Revolution.;198;Unter den europäischen Einflussfaktoren sind generell die <e2>englischen</e2> <rel>hervorzuhebenvor allem John Locke mit seiner empiristischen Philosophie und seiner Toleranztheorie, der englische Deismus und die ›free-thinkers‹ (</rel><e1>Matthew Tindal</e1>, Anthony Collins).;Matthew Tindal nationality England;nationality;SH;Matthew Tindal;hervorzuheben vor allem John Locke mit seiner empiristischen Philosophie und seiner Toleranztheorie, der englische Deismus und die ›free-thinkers‹ (;englischen;;
42;"Grimm, Jürgen; Hartwig, Susanne";Französische Literaturgeschichte. Von der Aufklärung bis zur Französischen Revolution.;198;Unter den europäischen Einflussfaktoren sind generell die <e2>englischen</e2> <rel>hervorzuhebenvor allem John Locke mit seiner empiristischen Philosophie und seiner Toleranztheorie, der englische Deismus und die ›free-thinkers‹ (Matthew Tindal, </rel><e1>Anthony Collins</e1>).;Anthony Collins nationality England;nationality;SH;Anthony Collins;hervorzuheben vor allem John Locke mit seiner empiristischen Philosophie und seiner Toleranztheorie, der englische Deismus und die ›free-thinkers‹ (Matthew Tindal, ;englischen;;
43;"Grimm, Jürgen; Hartwig, Susanne";Französische Literaturgeschichte. Von der Aufklärung bis zur Französischen Revolution.;198;Europaweit strahlen die Theorien <e1>Isaac Newton</e1>s aus, die unter den prominenten ›philosophes‹ vor allem Voltaire nachhaltig beschäftigen und die experimentelle Methode als Paradigma aufklärerischer Wissenschaft und Philosophie begründen.;Isaac Newton HasDistribution „high“;HasDistribution;SH;Isaac Newton;;Not Found;;ZZZ
44;"Grimm, Jürgen; Hartwig, Susanne";Französische Literaturgeschichte. Von der Aufklärung bis zur Französischen Revolution.;198;Europaweit strahlen die Theorien Isaac Newtons aus, die unter den <e2>prominenten </e2><rel>philosophes‹ vor allem </rel><e1>Voltaire</e1> nachhaltig beschäftigen und die experimentelle Methode als Paradigma aufklärerischer Wissenschaft und Philosophie begründen.;Voltaire describedAs prominent;describedAs;SH;Voltaire;philosophes‹ vor allem ;prominenten ;;
45;"Grimm, Jürgen; Hartwig, Susanne";Französische Literaturgeschichte. Von der Aufklärung bis zur Französischen Revolution.;198;Europaweit strahlen die Theorien Isaac Newtons aus, die unter den prominenten ›philosophes‹ vor allem Voltaire nachhaltig beschäftigen und die experimentelle Methode als Paradigma aufklärerischer Wissenschaft und Philosophie begründen.;Voltaire InstanceOf? Philosophes;InstanceOf*;SH;;;;*Wie Zugehörigkeit zu Gruppe angeben?;ND
46;"Grimm, Jürgen; Hartwig, Susanne";Französische Literaturgeschichte. Von der Aufklärung bis zur Französischen Revolution.;198;Europaweit strahlen die Theorien <e2>Isaac Newton</e2><rel> aus, die unter den prominenten ›philosophes‹ vor allem </rel><e1>Voltaire</e1> nachhaltig beschäftigen und die experimentelle Methode als Paradigma aufklärerischer Wissenschaft und Philosophie begründen.;Voltaire InfluencedBy Isaac Newton;InfluencedBy;SH;Voltaire; aus, die unter den prominenten ›philosophes‹ vor allem ;Isaac Newton;;
47;"Grimm, Jürgen; Hartwig, Susanne";Französische Literaturgeschichte. Von der Aufklärung bis zur Französischen Revolution.;198;Das niederländische und das deutsche <e2>Naturrecht</e2><rel>des 17. Jh.s geben der französischen Aufklärung bis hin zu </rel><e1>Rousseau</e1> wesentliche Impulse.;Rousseau InfluencedBy Naturrecht*;InfluencedBy;SH;Rousseau;des 17. Jh.s geben der französischen Aufklärung bis hin zu ;Naturrecht;*geht das hier?;
48;"Grimm, Jürgen; Hartwig, Susanne";Französische Literaturgeschichte. Von der Aufklärung bis zur Französischen Revolution.;198;Der <e2>deutsche Philosoph</e2><rel></rel><e1>Gottfried Wilhelm Leibniz</e1>, auch als Antipode Bayles für die Entstehung der Aufklärung wichtig, kann als eine exemplarische Figur des Übergangs gelten.;Gottfried Wilhelm Leibniz nationality Deutschland;nationality;SH;Gottfried Wilhelm Leibniz;;deutsche Philosoph;;RTS
