Unnamed: 0;Autor;Titel;Seite;Passage;Aussage;Code des Typs;Annotator/in;E1;Relation;E2;Anmerkung
10;Rolf Geißler, Manfred Starke (Winfried Schröder);Der moralisierende Charakter des spätaufklärerischen Romans in seiner Bedeutung für die Vorbereitung der bürgerlichen Gesellschaft;568;[Zu den ersten Werken, die in Frankreich diese neue bewußtseinsbildende Funktion exemplarisch wahrzunehmen suchten, gehören Marmontels <e2>Contes moraux</e2><rel>(1761: „Moralische Erzählungen“).] Ihr Vorbild bestimmte die Entwicklung der </rel><e1>Kurzerzählung</e1> bis zum Ende des Jahrhunderts.;Kurzerzählung* Inspired By Contes moraux;Inspired By;SH;Kurzerzählung;(1761: „Moralische Erzählungen“).] Ihr Vorbild bestimmte die Entwicklung der ;Contes moraux;*Kann man hier Werkgruppe/Stil (Kurzerzählung) verwenden?
11;Rolf Geißler, Manfred Starke (Winfried Schröder);Der moralisierende Charakter des spätaufklärerischen Romans in seiner Bedeutung für die Vorbereitung der bürgerlichen Gesellschaft;568;[Zu den ersten Werken, die in Frankreich diese neue bewußtseinsbildende Funktion exemplarisch wahrzunehmen suchten, gehören Marmontels <e2>Contes moraux</e2><rel>(1761: „Moralische Erzählungen“).] Ihr Vorbild bestimmte die Entwicklung der </rel><e1>Kurzerzählung</e1> bis zum Ende des Jahrhunderts.;Kurzerzählung* IsRelatedTo Contes moraux;IsRelatedTo;SH;Kurzerzählung;(1761: „Moralische Erzählungen“).] Ihr Vorbild bestimmte die Entwicklung der ;Contes moraux;*siehe Zeile 12
12;Rolf Geißler, Manfred Starke (Winfried Schröder);Der moralisierende Charakter des spätaufklärerischen Romans in seiner Bedeutung für die Vorbereitung der bürgerlichen Gesellschaft;568;[Zu den ersten Werken, die in Frankreich diese neue bewußtseinsbildende Funktion exemplarisch wahrzunehmen suchten, gehören Marmontels <e1>Contes moraux</e1><rel>(1761: „Moralische Erzählungen“). Ihr Vorbild bestimmte die Entwicklung der Kurzerzählung bis zum Ende des Jahrhunderts.] So kommt ihnen für die Erzählkunst des 18. Jahrhunderts die gleiche Bedeutung zu wie den </rel><e2>Cervantesschen Musternovellen</e2> für das 17. Jahrhundert und dem Dekameron für das 16. Jahrhundert.;Contes moraux IsComparedTo Cervantessche Musternovellen;IsComparedTo;SH;Contes moraux;(1761: „Moralische Erzählungen“). Ihr Vorbild bestimmte die Entwicklung der Kurzerzählung bis zum Ende des Jahrhunderts.] So kommt ihnen für die Erzählkunst des 18. Jahrhunderts die gleiche Bedeutung zu wie den Cervantesschen Musternovellen für das 17. Jahrhundert und dem ;Cervantesschen Musternovellen;
13;Rolf Geißler, Manfred Starke (Winfried Schröder);Der moralisierende Charakter des spätaufklärerischen Romans in seiner Bedeutung für die Vorbereitung der bürgerlichen Gesellschaft;568;[Zu den ersten Werken, die in Frankreich diese neue bewußtseinsbildende Funktion exemplarisch wahrzunehmen suchten, gehören Marmontels <e1>Contes moraux</e1><rel>(1761: „Moralische Erzählungen“). Ihr Vorbild bestimmte die Entwicklung der Kurzerzählung bis zum Ende des Jahrhunderts.] So kommt ihnen für die Erzählkunst des 18. Jahrhunderts die gleiche Bedeutung zu wie den Cervantesschen Musternovellen für das 17. Jahrhundert und dem </rel><e2>Dekameron</e2> für das 16. Jahrhundert.;Contes moraux IsComparedTo Dekameron;IsComparedTo;SH;Contes moraux;(1761: „Moralische Erzählungen“). Ihr Vorbild bestimmte die Entwicklung der Kurzerzählung bis zum Ende des Jahrhunderts.] So kommt ihnen für die Erzählkunst des 18. Jahrhunderts die gleiche Bedeutung zu wie den Cervantesschen Musternovellen für das 17. Jahrhundert und dem ;Dekameron;
14;Rolf Geißler, Manfred Starke (Winfried Schröder);Der moralisierende Charakter des spätaufklärerischen Romans in seiner Bedeutung für die Vorbereitung der bürgerlichen Gesellschaft;568-569;Wenn <e1>Marmontel</e1><rel> Helden am Ende Liebe und Glück finden, so haben sie es gewöhnlich weniger einem wohlmeinenden Schicksal als ihrem bürgerlichen </rel><e2>Fleiß,</e2> ihrer Tüchtigkeit und Tugend zu danken.;Jean-François Marmontel ArticulatesPositiveJudgement Fleiß;ArticulatesPositiveJudgement*;SH;Marmontel; Helden am Ende Liebe und Glück finden, so haben sie es gewöhnlich weniger einem wohlmeinenden Schicksal als ihrem bürgerlichen ;Fleiß,;*zu stark interpretiert?
15;Rolf Geißler, Manfred Starke (Winfried Schröder);Der moralisierende Charakter des spätaufklärerischen Romans in seiner Bedeutung für die Vorbereitung der bürgerlichen Gesellschaft;568-569;Wenn <e1>Marmontel</e1><rel> Helden am Ende Liebe und Glück finden, so haben sie es gewöhnlich weniger einem wohlmeinenden Schicksal als ihrem bürgerlichen Fleiß, ihrer Tüchtigkeit und </rel><e2>Tugend</e2> zu danken.;Jean-François Marmontel ArticulatesPositiveJudgement Tugend;ArticulatesPositiveJudgement*;SH;Marmontel; Helden am Ende Liebe und Glück finden, so haben sie es gewöhnlich weniger einem wohlmeinenden Schicksal als ihrem bürgerlichen Fleiß, ihrer Tüchtigkeit und ;Tugend;*siehe Zeile 16
16;Rolf Geißler, Manfred Starke (Winfried Schröder);Der moralisierende Charakter des spätaufklärerischen Romans in seiner Bedeutung für die Vorbereitung der bürgerlichen Gesellschaft;569;In seinem antikisierenden Roman <e2>Bélisaire</e2> (1767) schließlich, der in den Augen der Zeitgenossen den Telemach Fénélons übertrifft, wird der Leser aus der Privatsphäre herausgeführt und mit öffentlichen Belangen, mit politischen Fragen konfrontiert.;Jean-François Marmontel author Bélisaire;author;SH;Not Found;relation out of scope;Bélisaire;L: No subj
17;Rolf Geißler, Manfred Starke (Winfried Schröder);Der moralisierende Charakter des spätaufklärerischen Romans in seiner Bedeutung für die Vorbereitung der bürgerlichen Gesellschaft;569;In seinem antikisierenden Roman <e1>Bélisaire</e1><rel>(</rel><e2>1767</e2>) schließlich, der in den Augen der Zeitgenossen den Telemach Fénélons übertrifft, wird der Leser aus der Privatsphäre herausgeführt und mit öffentlichen Belangen, mit politischen Fragen konfrontiert.;Bélisaire date of publication 1767;date of publication;SH;Bélisaire;relation out of scope;1767;
18;Rolf Geißler, Manfred Starke (Winfried Schröder);Der moralisierende Charakter des spätaufklärerischen Romans in seiner Bedeutung für die Vorbereitung der bürgerlichen Gesellschaft;569;In seinem antikisierenden <e2>Roman</e2><rel></rel><e1>Bélisaire</e1> (1767) schließlich, der in den Augen der Zeitgenossen den Telemach Fénélons übertrifft, wird der Leser aus der Privatsphäre herausgeführt und mit öffentlichen Belangen, mit politischen Fragen konfrontiert.;Bélisaire Genre Roman;Genre;SH;Bélisaire;relation out of scope;Roman;
19;Rolf Geißler, Manfred Starke (Winfried Schröder);Der moralisierende Charakter des spätaufklärerischen Romans in seiner Bedeutung für die Vorbereitung der bürgerlichen Gesellschaft;569;In seinem <e2>antikisierenden Roman</e2><rel> </rel><e1>Bélisaire</e1> (1767) schließlich, der in den Augen der Zeitgenossen den Telemach Fénélons übertrifft, wird der Leser aus der Privatsphäre herausgeführt und mit öffentlichen Belangen, mit politischen Fragen konfrontiert.;Bélisaire describedAs antikisierend;describedAs;SH;Bélisaire;relation out of scope;antikisierenden Roman;
20;Rolf Geißler, Manfred Starke (Winfried Schröder);Der moralisierende Charakter des spätaufklärerischen Romans in seiner Bedeutung für die Vorbereitung der bürgerlichen Gesellschaft;569;In seinem antikisierenden Roman Bélisaire (1767) schließlich, der in den Augen der Zeitgenossen den <e2>Telemach</e2> <rel></rel> <e1>Fénélons</e1> übertrifft, wird der Leser aus der Privatsphäre herausgeführt und mit öffentlichen Belangen, mit politischen Fragen konfrontiert.  ;François Fénelon author Les Aventures de Télémaque*;author;SH;Fénelons;relation out of scope;Telemach;
21;Rolf Geißler, Manfred Starke (Winfried Schröder);Der moralisierende Charakter des spätaufklärerischen Romans in seiner Bedeutung für die Vorbereitung der bürgerlichen Gesellschaft;569;In seinem antikisierenden Roman <e1>Bélisaire</e1> <rel> (1767) schließlich, der in den Augen der Zeitgenossen den</rel> <e2>Telemach</e2>  Fénélons übertrifft, wird der Leser aus der Privatsphäre herausgeführt und mit öffentlichen Belangen, mit politischen Fragen konfrontiert. ;Bélisaire IsComparedTo Les Aventures de Télémaque*;IsComparedTo;SH;Bélisaire; (1767) schließlich, der in den Augen der Zeitgenossen den;Telemach;*siehe Zeile 22
22;Rolf Geißler, Manfred Starke (Winfried Schröder);Der moralisierende Charakter des spätaufklärerischen Romans in seiner Bedeutung für die Vorbereitung der bürgerlichen Gesellschaft;569;In seinem antikisierenden Roman <e2>Bélisaire</e2> <rel>(1767) schließlich, der in den Augen der Zeitgenossen den Telemach Fénélons übertrifft, wird</rel>  <e1>der Leser</e1>  aus der Privatsphäre herausgeführt und mit öffentlichen Belangen, mit politischen Fragen konfrontiert.;Leserschaft HAT REZIPIERT Bélisaire*;HAT REZIPIERT;SH;Der Leser;(1767) schließlich, der in den Augen der Zeitgenossen den Telemach Fénélons übertrifft, wird;Bélisaire;"*präferiert, höheres Ansehen/Qualität? -> eher ""x ArticulatesJudgement x"" (Prädikatsbezeichnung übertrifft anderes Werk: Pos od. neg?)"
23;Rolf Geißler, Manfred Starke (Winfried Schröder);Der moralisierende Charakter des spätaufklärerischen Romans in seiner Bedeutung für die Vorbereitung der bürgerlichen Gesellschaft;569;In seinem antikisierenden Roman Bélisaire (1767) schließlich, der in den Augen der Zeitgenossen den <e2>Telemach</e2> <rel>Fénélons übertrifft, wird</rel> <e1>der Leser</e1> aus der Privatsphäre herausgeführt und mit öffentlichen Belangen, mit politischen Fragen konfrontiert.   ;Leserschaft HAT REZIPIERT Les Aventures de Télémaque*;HAT REZIPIERT;SH;Telemach;Fénélons übertrifft, wird;Der Leser;*siehe Zeile 24 (-> niedrigeres Ansehen als Bélisaire)
24;Rolf Geißler, Manfred Starke (Winfried Schröder);Der moralisierende Charakter des spätaufklärerischen Romans in seiner Bedeutung für die Vorbereitung der bürgerlichen Gesellschaft;569;In seinem antikisierenden Roman <e1>Bélisaire</e1><rel>(1767) schließlich, der in den Augen der Zeitgenossen den Telemach Fénélons übertrifft, wird der Leser aus der Privatsphäre herausgeführt und mit öffentlichen Belangen, mit </rel><e2>politischen Fragen</e2> konfrontiert.;Bélisaire describedAs politisch;describedAs;SH;Bélisaire;(1767) schließlich, der in den Augen der Zeitgenossen den Telemach Fénélons übertrifft, wird der Leser aus der Privatsphäre herausgeführt und mit öffentlichen Belangen, mit ;politischen Fragen;
25;Rolf Geißler, Manfred Starke (Winfried Schröder);Der moralisierende Charakter des spätaufklärerischen Romans in seiner Bedeutung für die Vorbereitung der bürgerlichen Gesellschaft;569;<e1><e2>Bélisaire<<rel></rel><e2>Bélisaire</e1></e2> verfügt über alle moralischen Qualitäten eines bewußten Staatsbürgers, eines echten „citoyen“.;Bélisaire protagonist Bélisaire;protagonist;SH;Bélisaire;relation out of scope;Bélisaire</e1>;L: Double E1
26;Rolf Geißler, Manfred Starke (Winfried Schröder);Der moralisierende Charakter des spätaufklärerischen Romans in seiner Bedeutung für die Vorbereitung der bürgerlichen Gesellschaft;569-570;[Als <e1>Bélisaire</e1><rel>zu Hause ankommt, stirbt seine Frau. Der alte Mann wird vom Schmerz überwältigt.] Aber das höchste Unglück dient in den moralisierenden Romanen nur dazu, die Festigkeit der </rel><e2>Tugend</e2> zu erproben, die naturhafte Gewalt der individuellen Empfindungen durch das auf allgemeine Interessen gerichtete moralische Bewußtsein zu brechen.;Bélisaire main Subject Tugend(haftigkeit);main Subject;SH;Bélisaire;zu Hause ankommt, stirbt seine Frau. Der alte Mann wird vom Schmerz überwältigt.] Aber das höchste Unglück dient in den moralisierenden Romanen nur dazu, die Festigkeit der ;Tugend;
27;Rolf Geißler, Manfred Starke (Winfried Schröder);Der moralisierende Charakter des spätaufklärerischen Romans in seiner Bedeutung für die Vorbereitung der bürgerlichen Gesellschaft;569-570;[Als <e1>Bélisaire</e1> zu Hause ankommt, stirbt seine Frau. Der alte Mann wird vom Schmerz überwältigt.] Aber das höchste Unglück dient in den moralisierenden Romanen nur dazu, die Festigkeit der Tugend zu erproben, die naturhafte Gewalt der individuellen Empfindungen durch das auf allgemeine Interessen gerichtete moralische Bewußtsein zu brechen.;Bélisaire main Subject Gesellschafts-/Gemeinschaftswohl;main Subject;SH;Bélisaire;relation out of scope;Not Found;L: No idea
28;Rolf Geißler, Manfred Starke (Winfried Schröder);Der moralisierende Charakter des spätaufklärerischen Romans in seiner Bedeutung für die Vorbereitung der bürgerlichen Gesellschaft;569-570;[Als <e1>Bélisaire</e1><rel>zu Hause ankommt, stirbt seine Frau. Der alte Mann wird vom Schmerz überwältigt.] Aber das höchste Unglück dient in den </rel><e2>moralisierenden Romanen</e2> nur dazu, die Festigkeit der Tugend zu erproben, die naturhafte Gewalt der individuellen Empfindungen durch das auf allgemeine Interessen gerichtete moralische Bewußtsein zu brechen.;Bélisaire describedAs moralisierend;describedAs;SH;Bélisaire;zu Hause ankommt, stirbt seine Frau. Der alte Mann wird vom Schmerz überwältigt.] Aber das höchste Unglück dient in den ;moralisierenden Romanen;
29;Rolf Geißler, Manfred Starke (Winfried Schröder);Der moralisierende Charakter des spätaufklärerischen Romans in seiner Bedeutung für die Vorbereitung der bürgerlichen Gesellschaft;570;[Als <e1>Bélisaire</e1><rel>am Grabe seiner Frau steht, „war der Schmerz des Helden der eines Weisen, er war tief, aber still und erhaben. Auf seinem Gesicht malte sich die Trauer, aber eine schweigsame und würdige Trauer.“] Charakterisierungen wie diese, die von den ganzen Empfindungsreichtum des Menschen, aber gleichzeitig von seiner sittlichen Beherrschung künden, sind für die </rel><e2>moralisierende Literatur</e2>  der Spätaufklärung typisch.;Bélisaire describedAs moralisierend;describedAs;SH;Bélisaire;am Grabe seiner Frau steht, „war der Schmerz des Helden der eines Weisen, er war tief, aber still und erhaben. Auf seinem Gesicht malte sich die Trauer, aber eine schweigsame und würdige Trauer.“] Charakterisierungen wie diese, die von den ganzen Empfindungsreichtum des Menschen, aber gleichzeitig von seiner sittlichen Beherrschung künden, sind für die ;moralisierende Literatur;
30;Rolf Geißler, Manfred Starke (Winfried Schröder);Der moralisierende Charakter des spätaufklärerischen Romans in seiner Bedeutung für die Vorbereitung der bürgerlichen Gesellschaft;570;[Als <e1>Bélisaire</e1><rel>am Grabe seiner Frau steht, „war der Schmerz des Helden der eines Weisen, er war tief, aber still und erhaben. Auf seinem Gesicht malte sich die Trauer, aber eine schweigsame und würdige Trauer.“] Charakterisierungen wie diese, die von den ganzen </rel><e2>Empfindungsreichtum</e2> des Menschen, aber gleichzeitig von seiner sittlichen Beherrschung künden, sind für die moralisierende Literatur der Spätaufklärung typisch.;Bélisaire main Subject Empfindungsreichtum;main Subject;SH;Bélisaire;am Grabe seiner Frau steht, „war der Schmerz des Helden der eines Weisen, er war tief, aber still und erhaben. Auf seinem Gesicht malte sich die Trauer, aber eine schweigsame und würdige Trauer.“] Charakterisierungen wie diese, die von den ganzen ;Empfindungsreichtum;
31;Rolf Geißler, Manfred Starke (Winfried Schröder);Der moralisierende Charakter des spätaufklärerischen Romans in seiner Bedeutung für die Vorbereitung der bürgerlichen Gesellschaft;570;[Als <e1>Bélisaire</e1><rel>am Grabe seiner Frau steht, „war der Schmerz des Helden der eines Weisen, er war tief, aber still und erhaben. Auf seinem Gesicht malte sich die Trauer, aber eine schweigsame und würdige Trauer.“] Charakterisierungen wie diese, die von den ganzen Empfindungsreichtum des Menschen, aber gleichzeitig von seiner </rel><e2>sittlichen Beherrschung</e2> künden, sind für die moralisierende Literatur der Spätaufklärung typisch.;Bélisaire main Subject Sittlichkeit;main Subject;SH;Bélisaire;am Grabe seiner Frau steht, „war der Schmerz des Helden der eines Weisen, er war tief, aber still und erhaben. Auf seinem Gesicht malte sich die Trauer, aber eine schweigsame und würdige Trauer.“] Charakterisierungen wie diese, die von den ganzen Empfindungsreichtum des Menschen, aber gleichzeitig von seiner ;sittlichen Beherrschung;
32;Rolf Geißler, Manfred Starke (Winfried Schröder);Der moralisierende Charakter des spätaufklärerischen Romans in seiner Bedeutung für die Vorbereitung der bürgerlichen Gesellschaft;570;In seinem Anliegen, moralische Unterweisungen zu erteilen, erweist sich <e1>Bélisaire</e1><rel>als repräsentativ für die </rel><e2>Erzählliteratur</e2> der Spätaufklärung.;Bélisaire Genre Erzählliteratur;Genre;SH;Bélisaire;als repräsentativ für die ;Erzählliteratur;
33;Rolf Geißler, Manfred Starke (Winfried Schröder);Der moralisierende Charakter des spätaufklärerischen Romans in seiner Bedeutung für die Vorbereitung der bürgerlichen Gesellschaft;570;In seinem Anliegen, moralische Unterweisungen zu erteilen, erweist sich <e1>Bélisaire</e1><rel>als repräsentativ für die Erzählliteratur der </rel><e2>Spätaufklärung.</e2>;Bélisaire Epoche Spätaufklärung;Epoche;SH;Bélisaire;als repräsentativ für die Erzählliteratur der ;Spätaufklärung.;
34;Rolf Geißler, Manfred Starke (Winfried Schröder);Der moralisierende Charakter des spätaufklärerischen Romans in seiner Bedeutung für die Vorbereitung der bürgerlichen Gesellschaft;570;[Viele epische Werke jener Zeit sind mit langen Darlegungen über <e2>moralische</e2><rel>und angrenzende soziale, politische und philosophische Fragen durchsetzt. Wo lange Erörterungen fehlen, finden sich wenigstens allgemeine Maximen, wie sie noch am Anfang des 18. Jahrhunderts nur in moralischen Abhandlungen vorkamen.] Deutlich zeigt sich dies zum Beispiel an einer späteren Fortsetzung der </rel><e1>Manon Lescaut</e1>: „Der Abbé Prévost hatte mit keinem Wort der Mesallianz gedacht, als der arme Chevalier Des Grieux Manon heiratete. […]“;Suite de l‘Histoire du chevalier des Grieux et de Manon Lescaut describedAs moralisch;describedAs;SH;Manon Lescaut;und angrenzende soziale, politische und philosophische Fragen durchsetzt. Wo lange Erörterungen fehlen, finden sich wenigstens allgemeine Maximen, wie sie noch am Anfang des 18. Jahrhunderts nur in moralischen Abhandlungen vorkamen.] Deutlich zeigt sich dies zum Beispiel an einer späteren Fortsetzung der ;moralische;
35;Rolf Geißler, Manfred Starke (Winfried Schröder);Der moralisierende Charakter des spätaufklärerischen Romans in seiner Bedeutung für die Vorbereitung der bürgerlichen Gesellschaft;570;[Viele epische Werke jener Zeit sind mit langen Darlegungen über moralische und angrenzende soziale, <e2>politische</e2><rel>und philosophische Fragen durchsetzt. Wo lange Erörterungen fehlen, finden sich wenigstens allgemeine Maximen, wie sie noch am Anfang des 18. Jahrhunderts nur in moralischen Abhandlungen vorkamen.] Deutlich zeigt sich dies zum Beispiel an einer späteren Fortsetzung der </rel><e1>Manon Lescaut</e1>: „Der Abbé Prévost hatte mit keinem Wort der Mesallianz gedacht, als der arme Chevalier Des Grieux Manon heiratete. […]“;Suite de l‘Histoire du chevalier des Grieux et de Manon Lescaut describedAs politisch;describedAs;SH;Manon Lescaut;und philosophische Fragen durchsetzt. Wo lange Erörterungen fehlen, finden sich wenigstens allgemeine Maximen, wie sie noch am Anfang des 18. Jahrhunderts nur in moralischen Abhandlungen vorkamen.] Deutlich zeigt sich dies zum Beispiel an einer späteren Fortsetzung der ;politische;
36;Rolf Geißler, Manfred Starke (Winfried Schröder);Der moralisierende Charakter des spätaufklärerischen Romans in seiner Bedeutung für die Vorbereitung der bürgerlichen Gesellschaft;570;[Viele epische Werke jener Zeit sind mit langen Darlegungen über moralische und angrenzende soziale, politische und <e2>philosophische</e2><rel>Fragen durchsetzt. Wo lange Erörterungen fehlen, finden sich wenigstens allgemeine Maximen, wie sie noch am Anfang des 18. Jahrhunderts nur in moralischen Abhandlungen vorkamen.] Deutlich zeigt sich dies zum Beispiel an einer späteren Fortsetzung der </rel><e1>Manon Lescaut</e1>: „Der Abbé Prévost hatte mit keinem Wort der Mesallianz gedacht, als der arme Chevalier Des Grieux Manon heiratete. […]“;Suite de l‘Histoire du chevalier des Grieux et de Manon Lescaut describedAs philosophisch;describedAs;SH;Manon Lescaut;Fragen durchsetzt. Wo lange Erörterungen fehlen, finden sich wenigstens allgemeine Maximen, wie sie noch am Anfang des 18. Jahrhunderts nur in moralischen Abhandlungen vorkamen.] Deutlich zeigt sich dies zum Beispiel an einer späteren Fortsetzung der ;philosophische;
37;Rolf Geißler, Manfred Starke (Winfried Schröder);Der moralisierende Charakter des spätaufklärerischen Romans in seiner Bedeutung für die Vorbereitung der bürgerlichen Gesellschaft;570;[Viele epische Werke jener Zeit sind mit langen Darlegungen über moralische und angrenzende <e2>soziale</e2><rel>,politische und philosophische Fragen durchsetzt. Wo lange Erörterungen fehlen, finden sich wenigstens allgemeine Maximen, wie sie noch am Anfang des 18. Jahrhunderts nur in moralischen Abhandlungen vorkamen.] Deutlich zeigt sich dies zum Beispiel an einer späteren Fortsetzung der </rel><e1>Manon Lescaut</e1>: „Der Abbé Prévost hatte mit keinem Wort der Mesallianz gedacht, als der arme Chevalier Des Grieux Manon heiratete. […]“;Suite de l‘Histoire du chevalier des Grieux et de Manon Lescaut describedAs sozial(kritisch?)*;describedAs;SH;Manon Lescaut;politische und philosophische Fragen durchsetzt. Wo lange Erörterungen fehlen, finden sich wenigstens allgemeine Maximen, wie sie noch am Anfang des 18. Jahrhunderts nur in moralischen Abhandlungen vorkamen.] Deutlich zeigt sich dies zum Beispiel an einer späteren Fortsetzung der ;soziale;*sozialkritisch evtl. zu weit interpretiert?
