Autor;Titel;Seite;Passage;Aussage;Code des Typs;Annotator/in;Anmerkung;E1;Relation;E2;POST
"Grimm, Jürgen; Hartwig, Susanne";Französische Literaturgeschichte. Von der Aufklärung bis zur Französischen Revolution.;212;Prägend sind <e1>Montesquieu</e1><rel> in der Schwebe gehaltene Kritik an der zeitgenössischen Gesellschaft, seine wie mit leichter Hand notierten Antworten auf die Fragen nach dem rechten Zusammenleben der </rel><e2>Religionen</e2> und Konfessionen, nach der geeignetsten Staats- und Regierungsform und der persönlichen Freiheit.;Montesquieu topicInterest Religion;topicInterest;SH;;Montesquieu; in der Schwebe gehaltene Kritik an der zeitgenössischen Gesellschaft, seine wie mit leichter Hand notierten Antworten auf die Fragen nach dem rechten Zusammenleben der ;Religionen;
"Grimm, Jürgen; Hartwig, Susanne";Französische Literaturgeschichte. Von der Aufklärung bis zur Französischen Revolution.;212;Prägend sind <e1>Montesquieu</e1><rel> in der Schwebe gehaltene Kritik an der zeitgenössischen Gesellschaft, seine wie mit leichter Hand notierten Antworten auf die Fragen nach dem rechten Zusammenleben der Religionen und Konfessionen, nach der geeignetsten </rel><e2>Staats- und Regierungsform</e2> und der persönlichen Freiheit.;Montesquieu topicInterest Staat;topicInterest;SH;;Montesquieu; in der Schwebe gehaltene Kritik an der zeitgenössischen Gesellschaft, seine wie mit leichter Hand notierten Antworten auf die Fragen nach dem rechten Zusammenleben der Religionen und Konfessionen, nach der geeignetsten ;Staats- und Regierungsform;
"Grimm, Jürgen; Hartwig, Susanne";Französische Literaturgeschichte. Von der Aufklärung bis zur Französischen Revolution.;212;Prägend sind <e1>Montesquieu</e1><rel> in der Schwebe gehaltene Kritik an der zeitgenössischen Gesellschaft, seine wie mit leichter Hand notierten Antworten auf die Fragen nach dem rechten Zusammenleben der Religionen und Konfessionen, nach der geeignetsten Staats- und </rel><e2>Regierungsform</e2> und der persönlichen Freiheit.;Montesquieu topicInterest Regierung;topicInterest;SH;;Montesquieu; in der Schwebe gehaltene Kritik an der zeitgenössischen Gesellschaft, seine wie mit leichter Hand notierten Antworten auf die Fragen nach dem rechten Zusammenleben der Religionen und Konfessionen, nach der geeignetsten Staats- und ;Regierungsform;
"Grimm, Jürgen; Hartwig, Susanne";Französische Literaturgeschichte. Von der Aufklärung bis zur Französischen Revolution.;212;Prägend sind <e1>Montesquieu</e1><rel> in der Schwebe gehaltene Kritik an der zeitgenössischen Gesellschaft, seine wie mit leichter Hand notierten Antworten auf die Fragen nach dem rechten Zusammenleben der Religionen und Konfessionen, nach der geeignetsten Staats- und Regierungsform und der persönlichen </rel><e2>Freiheit</e2>.;Montesquieu topicInterest Freiheit;topicInterest;SH;;Montesquieu; in der Schwebe gehaltene Kritik an der zeitgenössischen Gesellschaft, seine wie mit leichter Hand notierten Antworten auf die Fragen nach dem rechten Zusammenleben der Religionen und Konfessionen, nach der geeignetsten Staats- und Regierungsform und der persönlichen ;Freiheit;
"Grimm, Jürgen; Hartwig, Susanne";Französische Literaturgeschichte. Von der Aufklärung bis zur Französischen Revolution.;212;Die in Oxford erscheinende Werkausgabe, die 2018 abgeschlossen sein soll, ist auf 200 Bände angelegt, wird über 700 Einzeltexte sowie mindestens 21000 Briefe von und an <e1>Voltaire</e1> <rel>umfassen, Tausende von Versen in allen Stillagen, Dutzende von Erzählungen aller Art, fast 30 Tragödien, rund 20 Komödien, ein nationales Heldenepos (La Henriade), ein komisch-heroisches Versepos (La pucelle), ein polemisches Wörterbuch, zahlreiche</rel> <e2>historiographische Schriften</e2>, gelehrte und naturwissenschaftliche Abhandlungen sowie philosophische Texte.;Voltaire topicInterest Geschichte;topicInterest;SH;;Voltaire;umfassen, Tausende von Versen in allen Stillagen, Dutzende von Erzählungen aller Art, fast 30 Tragödien, rund 20 Komödien, ein nationales Heldenepos (La Henriade), ein komisch-heroisches Versepos (La pucelle), ein polemisches Wörterbuch, zahlreiche;historiographische Schriften;
"Grimm, Jürgen; Hartwig, Susanne";Französische Literaturgeschichte. Von der Aufklärung bis zur Französischen Revolution.;212;Die in Oxford erscheinende Werkausgabe, die 2018 abgeschlossen sein soll, ist auf 200 Bände angelegt, wird über 700 Einzeltexte sowie mindestens 21000 Briefe von und an <e1>Voltaire</e1><rel>umfassen, Tausende von Versen in allen Stillagen, Dutzende von Erzählungen aller Art, fast 30 Tragödien, rund 20 Komödien, ein nationales Heldenepos (La Henriade), ein komisch-heroisches Versepos (La pucelle), ein polemisches Wörterbuch, zahlreiche historiographische Schriften, gelehrte und </rel><e2>naturwissenschaftliche Abhandlungen</e2> sowie philosophische Texte.;Voltaire topicInterest Naturwissenschaft;topicInterest;SH;;Voltaire;umfassen, Tausende von Versen in allen Stillagen, Dutzende von Erzählungen aller Art, fast 30 Tragödien, rund 20 Komödien, ein nationales Heldenepos (La Henriade), ein komisch-heroisches Versepos (La pucelle), ein polemisches Wörterbuch, zahlreiche historiographische Schriften, gelehrte und ;naturwissenschaftliche Abhandlungen;
"Grimm, Jürgen; Hartwig, Susanne";Französische Literaturgeschichte. Von der Aufklärung bis zur Französischen Revolution.;212;Die in Oxford erscheinende Werkausgabe, die 2018 abgeschlossen sein soll, ist auf 200 Bände angelegt, wird über 700 Einzeltexte sowie mindestens 21000 Briefe von und an <e1>Voltaire</e1><rel>umfassen, Tausende von Versen in allen Stillagen, Dutzende von Erzählungen aller Art, fast 30 Tragödien, rund 20 Komödien, ein nationales Heldenepos (La Henriade), ein komisch-heroisches Versepos (La pucelle), ein polemisches Wörterbuch, zahlreiche historiographische Schriften, gelehrte und naturwissenschaftliche Abhandlungen sowie </rel><e2>philosophische Texte</e2>.;Voltaire topicInterest Philosophie;topicInterest;SH;;Voltaire;umfassen, Tausende von Versen in allen Stillagen, Dutzende von Erzählungen aller Art, fast 30 Tragödien, rund 20 Komödien, ein nationales Heldenepos (La Henriade), ein komisch-heroisches Versepos (La pucelle), ein polemisches Wörterbuch, zahlreiche historiographische Schriften, gelehrte und naturwissenschaftliche Abhandlungen sowie ;philosophische Texte;
"Grimm, Jürgen; Hartwig, Susanne";Französische Literaturgeschichte. Von der Aufklärung bis zur Französischen Revolution.;212;"Von bürgerlicher Herkunft, bringt es <e1>Voltaire</e1><rel>als geschickter Geschäftsmann und Spekulant zu einem großen Vermögen; mit Le mondain (1736) verfasst er ein Lobgedicht auf den in der späteren Aufklärung heftig umstrittenen, von Rousseau verdammten </rel><e2>Luxus</e2>.";Voltaire topicInterest Luxus;topicInterest;SH;an dieser Stelle auch author/hasAuthor annotieren?;Voltaire;"als geschickter Geschäftsmann und Spekulant zu einem großen Vermögen; mit Le mondain (1736) verfasst er ein Lobgedicht auf den in der späteren Aufklärung heftig umstrittenen, von Rousseau verdammten ";Luxus;
"Grimm, Jürgen; Hartwig, Susanne";Französische Literaturgeschichte. Von der Aufklärung bis zur Französischen Revolution.;212;"Von bürgerlicher Herkunft, bringt es Voltaire als geschickter Geschäftsmann und Spekulant zu einem großen Vermögen; mit <e1>Le mondain</e1><rel>(1736) verfasst er ein Lobgedicht auf den in der späteren Aufklärung heftig umstrittenen, von Rousseau verdammten </rel><e2>Luxus</e2>.";Le mondain about Luxus;about;SH;;Le mondain;(1736) verfasst er ein Lobgedicht auf den in der späteren Aufklärung heftig umstrittenen, von Rousseau verdammten ;Luxus;
"Grimm, Jürgen; Hartwig, Susanne";Französische Literaturgeschichte. Von der Aufklärung bis zur Französischen Revolution.;213;Der junge <e1>Voltaire</e1><rel>versucht sich als </rel><e2>Tragödiendichter</e2>.;Voltaire topicInterest Tragödie;topicInterest;SH;;Voltaire;versucht sich als ;Tragödiendichter;
"Grimm, Jürgen; Hartwig, Susanne";Französische Literaturgeschichte. Von der Aufklärung bis zur Französischen Revolution.;213;"1718 wird <e1>Œdipe</e1><rel>uraufgeführt, es folgen zahlreiche </rel><e2>Tragödien</e2>, teils mit antiken, teils mit exotischen Stoffen (Brutus, 1730; Zaire, 1732; La mort de César, 1733; Fanatisme ou Maho-met le prophète, 1741, eine Tragödie, die Voltaire dem Papst widmen will; Mérope, 1743; Sémiramis, 1748; L’orphelin de la Chine, 1755; Tancrède, 1760; Saül, 1763; Sophonisbe, 1770).";Œdipe about Tragödie;about;SH;;Œdipe;uraufgeführt, es folgen zahlreiche ;Tragödien;
"Grimm, Jürgen; Hartwig, Susanne";Französische Literaturgeschichte. Von der Aufklärung bis zur Französischen Revolution.;213;"1718 wird Œdipe uraufgeführt, es folgen zahlreiche <e2>Tragödien</e2><rel> teils mit antiken, teils mit exotischen Stoffen (</rel><e1>Brutus</e1>, 1730; Zaire, 1732; La mort de César, 1733; Fanatisme ou Maho-met le prophète, 1741, eine Tragödie, die Voltaire dem Papst widmen will; Mérope, 1743; Sémiramis, 1748; L’orphelin de la Chine, 1755; Tancrède, 1760; Saül, 1763; Sophonisbe, 1770).";Brutus about Tragödie;about;SH;;Brutus; teils mit antiken, teils mit exotischen Stoffen (;Tragödien;
"Grimm, Jürgen; Hartwig, Susanne";Französische Literaturgeschichte. Von der Aufklärung bis zur Französischen Revolution.;213;"1718 wird Œdipe uraufgeführt, es folgen zahlreiche <e2>Tragödien</e2><rel> teils mit antiken, teils mit exotischen Stoffen (Brutus, 1730; </rel><e1>Zaire</e1>, 1732; La mort de César, 1733; Fanatisme ou Maho-met le prophète, 1741, eine Tragödie, die Voltaire dem Papst widmen will; Mérope, 1743; Sémiramis, 1748; L’orphelin de la Chine, 1755; Tancrède, 1760; Saül, 1763; Sophonisbe, 1770).";Zaire about Tragödie;about;SH;;Zaire;" teils mit antiken, teils mit exotischen Stoffen (Brutus, 1730; ";Tragödien;
"Grimm, Jürgen; Hartwig, Susanne";Französische Literaturgeschichte. Von der Aufklärung bis zur Französischen Revolution.;213;"1718 wird Œdipe uraufgeführt, es folgen zahlreiche <e2>Tragödien</e2><rel> teils mit antiken, teils mit exotischen Stoffen (Brutus, 1730; Zaire, 1732; </rel><e1>La mort de César</e1>, 1733; Fanatisme ou Maho-met le prophète, 1741, eine Tragödie, die Voltaire dem Papst widmen will; Mérope, 1743; Sémiramis, 1748; L’orphelin de la Chine, 1755; Tancrède, 1760; Saül, 1763; Sophonisbe, 1770).";La mort de César about Tragödie;about;SH;;La mort de César;" teils mit antiken, teils mit exotischen Stoffen (Brutus, 1730; Zaire, 1732; ";Tragödien;
"Grimm, Jürgen; Hartwig, Susanne";Französische Literaturgeschichte. Von der Aufklärung bis zur Französischen Revolution.;213;"1718 wird Œdipe uraufgeführt, es folgen zahlreiche <e2>Tragödien</e2><rel> teils mit antiken, teils mit exotischen Stoffen (Brutus, 1730; Zaire, 1732; La mort de César, 1733; </rel><e1>Fanatisme ou Maho-met le prophète</e1>, 1741, eine Tragödie, die Voltaire dem Papst widmen will; Mérope, 1743; Sémiramis, 1748; L’orphelin de la Chine, 1755; Tancrède, 1760; Saül, 1763; Sophonisbe, 1770).";Fanatisme ou Maho-met le prophète about Tragödie;about;SH;;Fanatisme ou Maho-met le prophète;" teils mit antiken, teils mit exotischen Stoffen (Brutus, 1730; Zaire, 1732; La mort de César, 1733; ";Tragödien;
"Grimm, Jürgen; Hartwig, Susanne";Französische Literaturgeschichte. Von der Aufklärung bis zur Französischen Revolution.;213;"1718 wird Œdipe uraufgeführt, es folgen zahlreiche <e2>Tragödien</e2><rel> teils mit antiken, teils mit exotischen Stoffen (Brutus, 1730; Zaire, 1732; La mort de César, 1733; Fanatisme ou Maho-met le prophète, 1741, eine Tragödie, die </rel><e1>Voltaire</e1> dem Papst widmen will; Mérope, 1743; Sémiramis, 1748; L’orphelin de la Chine, 1755; Tancrède, 1760; Saül, 1763; Sophonisbe, 1770).";Voltaire topicInterest Tragödie;topicInterest;SH;;Voltaire;" teils mit antiken, teils mit exotischen Stoffen (Brutus, 1730; Zaire, 1732; La mort de César, 1733; Fanatisme ou Maho-met le prophète, 1741, eine Tragödie, die ";Tragödien;
"Grimm, Jürgen; Hartwig, Susanne";Französische Literaturgeschichte. Von der Aufklärung bis zur Französischen Revolution.;213;"1718 wird Œdipe uraufgeführt, es folgen zahlreiche <e2>Tragödien</e2><rel> teils mit antiken, teils mit exotischen Stoffen (Brutus, 1730; Zaire, 1732; La mort de César, 1733; Fanatisme ou Maho-met le prophète, 1741, eine Tragödie, die Voltaire dem Papst widmen will; </rel><e1>Mérope</e1>, 1743; Sémiramis, 1748; L’orphelin de la Chine, 1755; Tancrède, 1760; Saül, 1763; Sophonisbe, 1770).";Mérope about Tragödie;about;SH;;Mérope;" teils mit antiken, teils mit exotischen Stoffen (Brutus, 1730; Zaire, 1732; La mort de César, 1733; Fanatisme ou Maho-met le prophète, 1741, eine Tragödie, die Voltaire dem Papst widmen will; ";Tragödien;
"Grimm, Jürgen; Hartwig, Susanne";Französische Literaturgeschichte. Von der Aufklärung bis zur Französischen Revolution.;213;"1718 wird Œdipe uraufgeführt, es folgen zahlreiche <e2>Tragödien</e2><rel> teils mit antiken, teils mit exotischen Stoffen (Brutus, 1730; Zaire, 1732; La mort de César, 1733; Fanatisme ou Maho-met le prophète, 1741, eine Tragödie, die Voltaire dem Papst widmen will; Mérope, 1743; </rel><e1>Sémiramis</e1>, 1748; L’orphelin de la Chine, 1755; Tancrède, 1760; Saül, 1763; Sophonisbe, 1770).";Sémiramis about Tragödie;about;SH;;Sémiramis;" teils mit antiken, teils mit exotischen Stoffen (Brutus, 1730; Zaire, 1732; La mort de César, 1733; Fanatisme ou Maho-met le prophète, 1741, eine Tragödie, die Voltaire dem Papst widmen will; Mérope, 1743; ";Tragödien;
"Grimm, Jürgen; Hartwig, Susanne";Französische Literaturgeschichte. Von der Aufklärung bis zur Französischen Revolution.;213;"1718 wird Œdipe uraufgeführt, es folgen zahlreiche <e2>Tragödien</e2><rel> teils mit antiken, teils mit exotischen Stoffen (Brutus, 1730; Zaire, 1732; La mort de César, 1733; Fanatisme ou Maho-met le prophète, 1741, eine Tragödie, die Voltaire dem Papst widmen will; Mérope, 1743; Sémiramis, 1748; </rel><e1>L’orphelin de la Chine</e1>, 1755; Tancrède, 1760; Saül, 1763; Sophonisbe, 1770).";L’orphelin de la Chine about Tragödie;about;SH;;L’orphelin de la Chine;" teils mit antiken, teils mit exotischen Stoffen (Brutus, 1730; Zaire, 1732; La mort de César, 1733; Fanatisme ou Maho-met le prophète, 1741, eine Tragödie, die Voltaire dem Papst widmen will; Mérope, 1743; Sémiramis, 1748; ";Tragödien;
"Grimm, Jürgen; Hartwig, Susanne";Französische Literaturgeschichte. Von der Aufklärung bis zur Französischen Revolution.;213;"1718 wird Œdipe uraufgeführt, es folgen zahlreiche <e2>Tragödien</e2><rel> teils mit antiken, teils mit exotischen Stoffen (Brutus, 1730; Zaire, 1732; La mort de César, 1733; Fanatisme ou Maho-met le prophète, 1741, eine Tragödie, die Voltaire dem Papst widmen will; Mérope, 1743; Sémiramis, 1748; L’orphelin de la Chine, 1755; </rel><e1>Tancrède</e1>, 1760; Saül, 1763; Sophonisbe, 1770).";Tancrède about Tragödie;about;SH;;Tancrède;" teils mit antiken, teils mit exotischen Stoffen (Brutus, 1730; Zaire, 1732; La mort de César, 1733; Fanatisme ou Maho-met le prophète, 1741, eine Tragödie, die Voltaire dem Papst widmen will; Mérope, 1743; Sémiramis, 1748; L’orphelin de la Chine, 1755; ";Tragödien;
"Grimm, Jürgen; Hartwig, Susanne";Französische Literaturgeschichte. Von der Aufklärung bis zur Französischen Revolution.;213;"1718 wird Œdipe uraufgeführt, es folgen zahlreiche <e2>Tragödien</e2><rel> teils mit antiken, teils mit exotischen Stoffen (Brutus, 1730; Zaire, 1732; La mort de César, 1733; Fanatisme ou Maho-met le prophète, 1741, eine Tragödie, die Voltaire dem Papst widmen will; Mérope, 1743; Sémiramis, 1748; L’orphelin de la Chine, 1755; Tancrède, 1760; </rel><e1>Saül</e1>, 1763; Sophonisbe, 1770).";Saül about Tragödie;about;SH;;Saül;" teils mit antiken, teils mit exotischen Stoffen (Brutus, 1730; Zaire, 1732; La mort de César, 1733; Fanatisme ou Maho-met le prophète, 1741, eine Tragödie, die Voltaire dem Papst widmen will; Mérope, 1743; Sémiramis, 1748; L’orphelin de la Chine, 1755; Tancrède, 1760; ";Tragödien;
"Grimm, Jürgen; Hartwig, Susanne";Französische Literaturgeschichte. Von der Aufklärung bis zur Französischen Revolution.;213;"1718 wird Œdipe uraufgeführt, es folgen zahlreiche <e2>Tragödien</e2><rel> teils mit antiken, teils mit exotischen Stoffen (Brutus, 1730; Zaire, 1732; La mort de César, 1733; Fanatisme ou Maho-met le prophète, 1741, eine Tragödie, die Voltaire dem Papst widmen will; Mérope, 1743; Sémiramis, 1748; L’orphelin de la Chine, 1755; Tancrède, 1760; Saül, 1763; </rel><e1>Sophonisbe</e1>, 1770).";Sophonisbe about Tragödie;about;SH;;Sophonisbe;" teils mit antiken, teils mit exotischen Stoffen (Brutus, 1730; Zaire, 1732; La mort de César, 1733; Fanatisme ou Maho-met le prophète, 1741, eine Tragödie, die Voltaire dem Papst widmen will; Mérope, 1743; Sémiramis, 1748; L’orphelin de la Chine, 1755; Tancrède, 1760; Saül, 1763; ";Tragödien;
"Grimm, Jürgen; Hartwig, Susanne";Französische Literaturgeschichte. Von der Aufklärung bis zur Französischen Revolution.;213;Zwischen 1726 und 1728 hält <e1>Voltaire</e1><rel>sich in England auf, wo sich ihm die Vorzüge der konstitutionellen Monarchie, der englische </rel><e2>Empirismus</e2>, die Theorien Newtons wie die Dramen Shakespeares offenbaren.;Voltaire topicInterest Empirismus;topicInterest;SH;;Voltaire;sich in England auf, wo sich ihm die Vorzüge der konstitutionellen Monarchie, der englische ;Empirismus;
"Grimm, Jürgen; Hartwig, Susanne";Französische Literaturgeschichte. Von der Aufklärung bis zur Französischen Revolution.;213;1734 erscheinen ohne Druckerlaubnis seine <e1>Lettres philosophiques</e1><rel> in denen er die französischen Leser mit den mannigfachen Vorzügen der </rel><e2>englischen Politik</e2> und Kultur, vor allem der Praxis weitgehender religiöser Toleranz vertraut macht (1733 unter dem Titel Lettres anglaises in London erschienen).;Lettres philosophiques about England;about;SH;;Lettres philosophiques; in denen er die französischen Leser mit den mannigfachen Vorzügen der ;englischen Politik;
"Grimm, Jürgen; Hartwig, Susanne";Französische Literaturgeschichte. Von der Aufklärung bis zur Französischen Revolution.;213;1734 erscheinen ohne Druckerlaubnis seine <e1>Lettres philosophiques</e1><rel> in denen er die französischen Leser mit den mannigfachen Vorzügen der englischen Politik und Kultur, vor allem der Praxis weitgehender </rel><e2>religiöser Toleranz</e2> vertraut macht (1733 unter dem Titel Lettres anglaises in London erschienen).;Lettres philosophiques about Religion;about;SH;;Lettres philosophiques; in denen er die französischen Leser mit den mannigfachen Vorzügen der englischen Politik und Kultur, vor allem der Praxis weitgehender ;religiöser Toleranz;
"Grimm, Jürgen; Hartwig, Susanne";Französische Literaturgeschichte. Von der Aufklärung bis zur Französischen Revolution.;213;Da <e1>Voltaire</e1><rel>schon Bekanntschaft mit der Bastille gemacht und infolge dieser Publikation Repressionen zu befürchten hat, lebt er nun 15 Jahre mit der Marquise Du Chatelet auf deren Landsitz in Cirey zusammen, wo das Paar den bereits erwähnten gemeinsamen </rel><e2>philosophischen und naturwissenschaftlichen Interessen</e2> nachgeht, denen sich Voltaires Elements de la philosophie de Newton (1738/1741) verdanken.;Voltaire topicInterest Philosophie;topicInterest;SH;;Voltaire;schon Bekanntschaft mit der Bastille gemacht und infolge dieser Publikation Repressionen zu befürchten hat, lebt er nun 15 Jahre mit der Marquise Du Chatelet auf deren Landsitz in Cirey zusammen, wo das Paar den bereits erwähnten gemeinsamen ;philosophischen und naturwissenschaftlichen Interessen;
"Grimm, Jürgen; Hartwig, Susanne";Französische Literaturgeschichte. Von der Aufklärung bis zur Französischen Revolution.;213;Da <e1>Voltaire</e1><rel>schon Bekanntschaft mit der Bastille gemacht und infolge dieser Publikation Repressionen zu befürchten hat, lebt er nun 15 Jahre mit der Marquise Du Chatelet auf deren Landsitz in Cirey zusammen, wo das Paar den bereits erwähnten gemeinsamen philosophischen und </rel><e2>naturwissenschaftlichen Interessen</e2> nachgeht, denen sich Voltaires Elements de la philosophie de Newton (1738/1741) verdanken.;Voltaire topicInterest Naturwissenschaft;topicInterest;SH;;Voltaire;schon Bekanntschaft mit der Bastille gemacht und infolge dieser Publikation Repressionen zu befürchten hat, lebt er nun 15 Jahre mit der Marquise Du Chatelet auf deren Landsitz in Cirey zusammen, wo das Paar den bereits erwähnten gemeinsamen philosophischen und ;naturwissenschaftlichen Interessen;
"Grimm, Jürgen; Hartwig, Susanne";Französische Literaturgeschichte. Von der Aufklärung bis zur Französischen Revolution.;213;Da Voltaire schon Bekanntschaft mit der Bastille gemacht und infolge dieser Publikation Repressionen zu befürchten hat, lebt er nun 15 Jahre mit der <e1>Marquise Du Chatelet</e1><rel> auf deren Landsitz in Cirey zusammen, wo das Paar den bereits erwähnten gemeinsamen </rel><e2>philosophischen und naturwissenschaftlichen Interessen</e2> nachgeht, denen sich Voltaires Elements de la philosophie de Newton (1738/1741) verdanken.;Marquise Du Châtelet topicInterest Philosophie;topicInterest;SH;;Marquise Du Chatelet; auf deren Landsitz in Cirey zusammen, wo das Paar den bereits erwähnten gemeinsamen ;philosophischen und naturwissenschaftlichen Interessen;
"Grimm, Jürgen; Hartwig, Susanne";Französische Literaturgeschichte. Von der Aufklärung bis zur Französischen Revolution.;213;Da Voltaire schon Bekanntschaft mit der Bastille gemacht und infolge dieser Publikation Repressionen zu befürchten hat, lebt er nun 15 Jahre mit der <e1>Marquise Du Chatelet</e1><rel> auf deren Landsitz in Cirey zusammen, wo das Paar den bereits erwähnten gemeinsamen philosophischen und </rel><e2>naturwissenschaftlichen Interessen</e2> nachgeht, denen sich Voltaires Elements de la philosophie de Newton (1738/1741) verdanken.;Marquise Du Châtelet topicInterest Naturwissenschaft;topicInterest;SH;;Marquise Du Chatelet; auf deren Landsitz in Cirey zusammen, wo das Paar den bereits erwähnten gemeinsamen philosophischen und ;naturwissenschaftlichen Interessen;
"Grimm, Jürgen; Hartwig, Susanne";Französische Literaturgeschichte. Von der Aufklärung bis zur Französischen Revolution.;213;Da Voltaire schon Bekanntschaft mit der Bastille gemacht und infolge dieser Publikation Repressionen zu befürchten hat, lebt er nun 15 Jahre mit der Marquise Du Chatelet auf deren Landsitz in Cirey zusammen, wo das Paar den bereits erwähnten gemeinsamen <e2>philosophischen undnaturwissenschaftlichen Interessen</e2><rel> nachgeht, denen sich Voltaires </rel><e1>Elements de la philosophie de Newton</e1> (1738/1741) verdanken.;Éléments de la philosophie de Newton about Philosophie;about;SH;;Elements de la philosophie de Newton;nachgeht, denen sich Voltaires;philosophischen und naturwissenschaftlichen Interessen;
