Autor;Titel;Passage;Aussage;Code des Typs;E1;Relation;E2;POST;Seite;Annotator/in;Nr
Bauer-Funke, Cerstin;Die französische Literatur des 18. Jahrhunderts: Theorien und Entwürfe;stark 18 Jh einerseits Ästhetik französisch Klassik prägen andererseits Ablösungsprozeß doctrine classqiue befinden belegen exemplarisch <e1>Voltaire</e1><rel> kritischsatirischer Temple goût 1733 Vers Prosa abgefaßt allegorische Reise Tempel gut </rel><e2>Geschmacks</e2> literaturkritischer Essay lesen;Voltaire topicInterest Geschmack;topicInterest;Voltaire;kritischsatirischer Temple goût 1733 Vers Prosa abgefaßt allegorische Reise Tempel gut;Geschmack;nan;nan;nan;nan
Bauer-Funke, Cerstin;Die französische Literatur des 18. Jahrhunderts: Theorien und Entwürfe;stark 18 Jh einerseits Ästhetik französisch Klassik prägen andererseits Ablösungsprozeß doctrine classqiue befinden belegen exemplarisch Voltaires kritischsatirischer <e1>Temple goût</e1><rel> 1733 Vers Prosa abgefaßt allegorische Reise Tempel gut </rel><e2>Geschmacks</e2> literaturkritischer Essay lesen;Temple du goût about Geschmack;about;Temple goût;1733 Vers Prosa abgefaßt allegorische Reise Tempel gut;Geschmack;nan;nan;nan;nan
Bauer-Funke, Cerstin;Die französische Literatur des 18. Jahrhunderts: Theorien und Entwürfe;<e1>Voltaire</e1><rel> Zeitgenossen Houdar de La Motte Marivaux Jean Baptiste Rousseau Zutritt Altar verweigern Schriftsteller französisch Klassik Fénelon Bossuet Corneille Racine La Fontaine Boileau Molière inner Tempelbereich betreten anweisen Werk Sinn gut </rel><e2>Geschmacks</e2> überarbeiten definieren Voltaire Begriff Reinheit Eleganz Einfachheit wobei Kern Dubos sensualistische Geschmacksdefinition rekurrieren Definition Encyclopédie verfassen Artikel Goût 1756 entsprechend Artikel Dictionnaire philosophique 1770 zurückkommen;Voltaire topicInterest Geschmack;topicInterest;Voltaire;Zeitgenossen Houdar de La Motte Marivaux Jean Baptiste Rousseau Zutritt Altar verweigern Schriftsteller französisch Klassik Fénelon Bossuet Corneille Racine La Fontaine Boileau Molière inner Tempelbereich betreten anweisen Werk Sinn gut;Geschmack;nan;nan;nan;nan
Bauer-Funke, Cerstin;Die französische Literatur des 18. Jahrhunderts: Theorien und Entwürfe;Voltaires Zeitgenossen Houdar de La Motte Marivaux Jean Baptiste Rousseau Zutritt Altar verweigern Schriftsteller französisch Klassik Fénelon Bossuet Corneille Racine La Fontaine Boileau Molière inner Tempelbereich betreten anweisen Werk Sinn gut Geschmackszu überarbeiten definieren Voltaire Begriff Reinheit Eleganz Einfachheit wobei Kern Dubos sensualistische <e2>Geschmacksdefinition</e2><rel> rekurrieren Definition Encyclopédie verfassen Artikel </rel><e1>Goût</e1> 1756 entsprechend Artikel Dictionnaire philosophique 1770 zurückkommen;Goût about Geschmack;about;Goût;rekurrieren Definition Encyclopédie verfassen Artikel;Geschmacksdefinition;nan;nan;nan;nan
Bauer-Funke, Cerstin;Die französische Literatur des 18. Jahrhunderts: Theorien und Entwürfe;Voltaires Zeitgenossen Houdar de La Motte Marivaux Jean Baptiste Rousseau Zutritt Altar verweigern Schriftsteller französisch Klassik Fénelon Bossuet Corneille Racine La Fontaine Boileau Molière inner Tempelbereich betreten anweisen Werk Sinn gut Geschmackszu überarbeiten definieren Voltaire Begriff Reinheit Eleganz Einfachheit wobei Kern Dubos sensualistische <e2>Geschmacksdefinition</e2><rel> rekurrieren Definition Encyclopédie verfassen Artikel Goût 1756 entsprechend Artikel </rel><e1>Dictionnaire philosophique</e1> 1770 zurückkommen;Dictionnaire philosophique about Geschmack;about;Dictionnaire philosophique;rekurrieren Definition Encyclopédie verfassen Artikel Goût 1756 entsprechend Artikel;Geschmacksdefinition;nan;nan;nan;nan
Bauer-Funke, Cerstin;Die französische Literatur des 18. Jahrhunderts: Theorien und Entwürfe;Bezugnahme doctrine classique Einheit verortet <e1>Charles Batteux</e1><rel> kunsttheoretischen Werk Les beauxarts réduits à un meme principe 1746 </rel><e2>Literatur</e2> System schön Kunst Grundgesetz Nachahmung Natur zurückführen;Charles Batteux topicInterest Literatur;topicInterest;Charles Batteux;kunsttheoretischen Werk Les beauxarts réduits à un meme principe 1746;Literatur;nan;nan;nan;nan
Bauer-Funke, Cerstin;Die französische Literatur des 18. Jahrhunderts: Theorien und Entwürfe;Bezugnahme doctrine classique Einheit verortet <e1>Charles Batteux</e1><rel> </rel><e2>kunsttheoretischen Werk</e2> Les beauxarts réduits à un meme principe 1746 Literatur System schön Kunst Grundgesetz Nachahmung Natur zurückführen;Charles Batteux topicInterest Kunst;topicInterest;Charles Batteux;;kunsttheoretischen Werk;nan;nan;nan;nan
Bauer-Funke, Cerstin;Die französische Literatur des 18. Jahrhunderts: Theorien und Entwürfe;Bezugnahme doctrine classique Einheit verortet <e1>Charles Batteux</e1><rel> kunsttheoretischen Werk Les beauxarts réduits à un meme principe 1746 Literatur System schön Kunst Grundgesetz Nachahmung </rel><e2>Natur</e2> zurückführen;Charles Batteux topicInterest Natur;topicInterest;Charles Batteux;kunsttheoretischen Werk Les beauxarts réduits à un meme principe 1746 Literatur System schön Kunst Grundgesetz Nachahmung;Natur;nan;nan;nan;nan
Bauer-Funke, Cerstin;Die französische Literatur des 18. Jahrhunderts: Theorien und Entwürfe;Bezugnahme doctrine classique Einheit verortet Charles Batteux kunsttheoretischen Werk <e1>Les beauxarts réduits à un meme principe</e1><rel> 1746 </rel><e2>Literatur</e2> System schön Kunst Grundgesetz Nachahmung Natur zurückführen;Les beaux-arts réduits à un meme principe about Literatur;about;Les beauxarts réduits à un meme principe;1746;Literatur;nan;nan;nan;nan
Bauer-Funke, Cerstin;Die französische Literatur des 18. Jahrhunderts: Theorien und Entwürfe;Batteux unternehmen Mitarbeiter <e1>Encyclopédie</e1><rel> Definitionsversuche </rel><e2>Geschmacks</e2>;Encyclopédie about Geschmack;about;Encyclopédie;Definitionsversuche;Geschmack;nan;nan;nan;nan
Bauer-Funke, Cerstin;Die französische Literatur des 18. Jahrhunderts: Theorien und Entwürfe;Voltaire verfassen <e1>Montesquieu</e1> <rel> Bitte dAlemberts Encyclopédie postum 1756 erschienen Essai sur le goût dans les choses delà nature et de lart Dubos vertreten sensualistische </rel><e2>Theorie Künste</e2> verfechten sehen Montesquieu sentinient Grundlage Geschmacksurteil;Montesquieu topicInterest Kunst;topicInterest;Montesquieu;Bitte dAlemberts Encyclopédie postum 1756 erschienen Essai sur le goût dans les choses delà nature et de lart Dubos vertreten sensualistische;Theorie Kunst;nan;nan;nan;nan
Bauer-Funke, Cerstin;Die französische Literatur des 18. Jahrhunderts: Theorien und Entwürfe;Voltaire verfassen <e1>Montesquieu</e1><rel> Bitte dAlemberts Encyclopédie postum 1756 erschienen Essai sur le goût dans les choses delà nature et de lart Dubos vertreten sensualistische Theorie Kunst verfechten sehen Montesquieu sentinient Grundlage </rel><e2>Geschmacksurteil</e2>;Montesquieu topicInterest Geschmack;topicInterest;Montesquieu;Bitte dAlemberts Encyclopédie postum 1756 erschienen Essai sur le goût dans les choses delà nature et de lart Dubos vertreten sensualistische Theorie Kunst verfechten sehen Montesquieu sentinient Grundlage;Geschmacksurteil;nan;nan;nan;nan
Bauer-Funke, Cerstin;Die französische Literatur des 18. Jahrhunderts: Theorien und Entwürfe;Voltaire verfassen Montesquieu Bitte dAlemberts Encyclopédie postum 1756 erschienen <e1>Essai sur le goût dans les choses delà nature et de lart</e1><rel> Dubos vertreten sensualistische </rel><e2>Theorie Künste</e2> verfechten sehen Montesquieu sentinient Grundlage Geschmacksurteil;Essai sur le goût dans les choses delà nature et de l’art about Kunst;about;Essai sur le goût dans les choses delà nature et de lart;Dubos vertreten sensualistische;Theorie Kunst;nan;nan;nan;nan
Bauer-Funke, Cerstin;Die französische Literatur des 18. Jahrhunderts: Theorien und Entwürfe;Voltaire verfassen Montesquieu Bitte dAlemberts Encyclopédie postum 1756 erschienen <e1>Essai sur le goût dans les choses delà nature et de lart</e1><rel> Dubos vertreten sensualistische Theorie Kunst verfechten sehen Montesquieu sentinient Grundlage </rel><e2>Geschmacksurteil</e2>;Essai sur le goût dans les choses delà nature et de l’art about Geschmack;about;Essai sur le goût dans les choses delà nature et de lart;Dubos vertreten sensualistische Theorie Kunst verfechten sehen Montesquieu sentinient Grundlage;Geschmacksurteil;nan;nan;nan;nan
Bauer-Funke, Cerstin;Die französische Literatur des 18. Jahrhunderts: Theorien und Entwürfe;Voltaire verfassen Montesquieu Bitte dAlemberts Encyclopédie postum 1756 erschienen Essai sur le goût dans les choses delà nature et de lart <e1>Dubos</e1><rel> vertreten sensualistische </rel><e2>Theorie Künste</e2> verfechten sehen Montesquieu sentinient Grundlage Geschmacksurteil;Jean-Baptiste Dubos topicInterest Kunst;topicInterest;Dubos;vertreten sensualistische;Theorie Kunst;nan;nan;nan;nan
Bauer-Funke, Cerstin;Die französische Literatur des 18. Jahrhunderts: Theorien und Entwürfe;Voltaire verfassen Montesquieu Bitte dAlemberts Encyclopédie postum 1756 erschienen Essai sur le goût dans les choses delà nature et de lart <e1>Dubos</e1><rel> vertreten sensualistische Theorie Kunst verfechten sehen Montesquieu sentinient Grundlage </rel><e2>Geschmacksurteil</e2>;Jean-Baptiste Dubos topicInterest Geschmack;topicInterest;Dubos;vertreten sensualistische Theorie Kunst verfechten sehen Montesquieu sentinient Grundlage;Geschmacksurteil;nan;nan;nan;nan
Bauer-Funke, Cerstin;Die französische Literatur des 18. Jahrhunderts: Theorien und Entwürfe;<e1>Diderot</e1><rel> befassen Kategorie </rel><e2>Geschmacks</e2> Artikel Beau Encyclopédie Salon 1759 1781 Grimm Correspondance littéraire verfassen kunstkritischen Bericht Kunstausstellungen Louvre;Denis Diderot topicInterest Geschmack;topicInterest;Diderot;befassen Kategorie;Geschmack;nan;nan;nan;nan
Bauer-Funke, Cerstin;Die französische Literatur des 18. Jahrhunderts: Theorien und Entwürfe;Diderot befassen Kategorie <e2>Geschmacks</e2><rel> Artikel </rel><e1>Beau</e1> Encyclopédie Salon 1759 1781 Grimm Correspondance littéraire verfassen kunstkritischen Bericht Kunstausstellungen Louvre;Beau about Geschmack;about;Beau;Artikel;Geschmack;RSU;nan;nan;nan
Bauer-Funke, Cerstin;Die französische Literatur des 18. Jahrhunderts: Theorien und Entwürfe;Diderot befassen Kategorie <e2>Geschmacks</e2><rel> Artikel Beau Encyclopédie </rel><e1>Salons</e1> 1759 1781 Grimm Correspondance littéraire verfassen kunstkritischen Bericht Kunstausstellungen Louvre;Salons about Geschmack;about;Salon;Artikel Beau Encyclopédie;Geschmack;nan;nan;nan;nan
Bauer-Funke, Cerstin;Die französische Literatur des 18. Jahrhunderts: Theorien und Entwürfe;Diderot befassen Kategorie Geschmack Artikel Beau Encyclopédie <e1>Salons</e1><rel> 1759 1781 Grimm Correspondance littéraire verfassen </rel><e2>kunstkritischen Berichten</e2> Kunstausstellungen Louvre;Salons about Kunstkritik;about;Salon;1759 1781 Grimm Correspondance littéraire verfassen;kunstkritischen Bericht;nan;nan;nan;nan
Bauer-Funke, Cerstin;Die französische Literatur des 18. Jahrhunderts: Theorien und Entwürfe;<e1>Diderot</e1><rel> befassen Kategorie Geschmack Artikel Beau Encyclopédie Salon 1759 1781 Grimm Correspondance littéraire verfassen </rel><e2>kunstkritischen Berichten</e2> Kunstausstellungen Louvre;Denis Diderot topicInterest Kunstkritik;topicInterest;Diderot;befassen Kategorie Geschmack Artikel Beau Encyclopédie Salon 1759 1781 Grimm Correspondance littéraire verfassen;kunstkritischen Bericht;nan;nan;nan;nan
Bauer-Funke, Cerstin;Die französische Literatur des 18. Jahrhunderts: Theorien und Entwürfe;Position vertreten <e1>Rousseau</e1><rel> Emile ou De léducation 1762 </rel><e2>Geschmack</e2> fundamental moralisch Urteilsinstanz definieren Geschmacksurteil Folge Erfahrungsaustausch gesellschaftlich Prägung betrachten;Jean-Jacques Rousseau topicInterest Geschmack;topicInterest;Rousseau;Emile ou De léducation 1762;Geschmack;nan;nan;nan;nan
Bauer-Funke, Cerstin;Die französische Literatur des 18. Jahrhunderts: Theorien und Entwürfe;Position vertreten <e1>Rousseau</e1><rel> Emile ou De léducation 1762 Geschmack fundamental </rel><e2>moralische Urteilsinstanz</e2> definieren Geschmacksurteil Folge Erfahrungsaustausch gesellschaftlich Prägung betrachten;Jean-Jacques Rousseau topicInterest Moral;topicInterest;Rousseau;Emile ou De léducation 1762 Geschmack fundamental;moralisch Urteilsinstanz;nan;nan;nan;nan
Bauer-Funke, Cerstin;Die französische Literatur des 18. Jahrhunderts: Theorien und Entwürfe;Position vertreten Rousseau <e1>Emile ou De léducation</e1><rel> 1762 </rel><e2>Geschmack</e2> fundamental moralisch Urteilsinstanz definieren Geschmacksurteil Folge Erfahrungsaustausch gesellschaftlich Prägung betrachten;Emile ou De l'éducation about Geschmack;about;Emile ou De léducation;1762;Geschmack;nan;nan;nan;nan
Bauer-Funke, Cerstin;Die französische Literatur des 18. Jahrhunderts: Theorien und Entwürfe;Position vertreten Rousseau <e1>Emile ou De léducation</e1><rel> 1762 Geschmack fundamental </rel><e2>moralische Urteilsinstanz</e2> definieren Geschmacksurteil Folge Erfahrungsaustausch gesellschaftlich Prägung betrachten;Emile ou De l'éducation about Moral;about;Emile ou De léducation;1762 Geschmack fundamental;moralisch Urteilsinstanz;nan;nan;nan;nan
Bauer-Funke, Cerstin;Die französische Literatur des 18. Jahrhunderts: Theorien und Entwürfe;1787 schließlich beschäftigen <e1>Marmontel</e1><rel> Essai sur le goût nochmals ausführlich </rel><e2>Geschmacksbegriff</e2> historisch Perspektivierung Antike Voltaire behandeln Werk Inbegriff gut Geschmack gelten;Jean-François Marmontel topicInterest Geschmack;topicInterest;Marmontel;Essai sur le goût nochmals ausführlich;Geschmacksbegriff;nan;nan;nan;nan
Bauer-Funke, Cerstin;Die französische Literatur des 18. Jahrhunderts: Theorien und Entwürfe;1787 schließlich beschäftigen <e1>Marmontel</e1><rel> Essai sur le goût nochmals ausführlich </rel><e2>Geschmacksbegriff</e2> historisch Perspektivierung Antike Voltaire behandeln Werk Inbegriff gut Geschmack gelten;Jean-François Marmontel topicInterest Geschichte;topicInterest;Marmontel;Essai sur le goût nochmals ausführlich;Geschmacksbegriff;nan;nan;nan;nan
Bauer-Funke, Cerstin;Die französische Literatur des 18. Jahrhunderts: Theorien und Entwürfe;1787 schließlich beschäftigen Marmontel <e1>Essai sur le goût</e1><rel> nochmals ausführlich </rel><e2>Geschmacksbegriff</e2> historisch Perspektivierung Antike Voltaire behandeln Werk Inbegriff gut Geschmack gelten;Essai sur le goût about Geschmack;about;Essai sur le goût;nochmals ausführlich;Geschmacksbegriff;nan;nan;nan;nan
Bauer-Funke, Cerstin;Die französische Literatur des 18. Jahrhunderts: Theorien und Entwürfe;Ort literarisch <e2>Geschmacksbildung</e2><rel> Jahrhunderthälfte Salon Mme de Lambert Mme </rel><e1>de Tencin</e1> 1750 Salon Mme Deffands Mine Geoffrins ablösen;Claudine Guérin de Tencin topicInterest Geschmack;topicInterest;de Tencin;Jahrhunderthälfte Salon Mme de Lambert Mme;Geschmacksbildung;nan;nan;nan;nan
Bauer-Funke, Cerstin;Die französische Literatur des 18. Jahrhunderts: Theorien und Entwürfe;Ort literarisch <e2>Geschmacksbildung</e2><rel> Jahrhunderthälfte Salon Mme de Lambert Mme de Tencin 1750 Salon Mme Deffands Mine </rel><e1>Geoffrin</e1>s ablösen;Marie Thérèse Rodet Geoffrin topicInterest Geschmack;topicInterest;Geoffrin;Jahrhunderthälfte Salon Mme de Lambert Mme de Tencin 1750 Salon Mme Deffands Mine;Geschmacksbildung;nan;nan;nan;nan
Bauer-Funke, Cerstin;Die französische Literatur des 18. Jahrhunderts: Theorien und Entwürfe;obschon <e1>Voltaire</e1><rel> klassisch Dramaturgie formal verhaften bleiben entscheidend Impuls Auflösung starren Regelkorsetts </rel><e2>antiken Stoffen</e2> Stoffkreise philosophisch Tragödie fruchtbar national Geschichte Zaire 1732 Adélaïde Guesclin 1734 außereuropäisch Stoff exotisch geltend Handlungsorte salonfähig erklären Peru Alzire 1736 Nahe Osten Le fanatisme ou Mahomet le prophète 1741 China Lorphelin de la Chine 1755 überwinden doctrine classique thematisch;Voltaire topicInterest Antike;topicInterest;Voltaire;klassisch Dramaturgie formal verhaften bleiben entscheidend Impuls Auflösung starren Regelkorsetts;antik Stoff;nan;nan;nan;nan
Bauer-Funke, Cerstin;Die französische Literatur des 18. Jahrhunderts: Theorien und Entwürfe;obschon <e1>Voltaire</e1><rel> klassisch Dramaturgie formal verhaften bleiben entscheidend Impuls Auflösung starren Regelkorsetts antik Stoff Stoffkreise </rel><e2>philosophischen Tragödien</e2> fruchtbar national Geschichte Zaire 1732 Adélaïde Guesclin 1734 außereuropäisch Stoff exotisch geltend Handlungsorte salonfähig erklären Peru Alzire 1736 Nahe Osten Le fanatisme ou Mahomet le prophète 1741 China Lorphelin de la Chine 1755 überwinden doctrine classique thematisch;Voltaire topicInterest Philosophie;topicInterest;Voltaire;klassisch Dramaturgie formal verhaften bleiben entscheidend Impuls Auflösung starren Regelkorsetts antik Stoff Stoffkreise;philosophisch Tragödie;nan;nan;nan;nan
Bauer-Funke, Cerstin;Die französische Literatur des 18. Jahrhunderts: Theorien und Entwürfe;obschon <e1>Voltaire</e1><rel> klassisch Dramaturgie formal verhaften bleiben entscheidend Impuls Auflösung starren Regelkorsetts antik Stoff Stoffkreise philosophisch Tragödie fruchtbar national </rel><e2>Geschichte</e2> Zaire 1732 Adélaïde Guesclin 1734 außereuropäisch Stoff exotisch geltend Handlungsorte salonfähig erklären Peru Alzire 1736 Nahe Osten Le fanatisme ou Mahomet le prophète 1741 China Lorphelin de la Chine 1755 überwinden doctrine classique thematisch;Voltaire topicInterest Geschichte;topicInterest;Voltaire;klassisch Dramaturgie formal verhaften bleiben entscheidend Impuls Auflösung starren Regelkorsetts antik Stoff Stoffkreise philosophisch Tragödie fruchtbar national;Geschichte;nan;nan;nan;nan
Bauer-Funke, Cerstin;Die französische Literatur des 18. Jahrhunderts: Theorien und Entwürfe;obschon <e1>Voltaire</e1><rel> klassisch Dramaturgie formal verhaften bleiben entscheidend Impuls Auflösung starren Regelkorsetts antik Stoff Stoffkreise philosophisch Tragödie fruchtbar national Geschichte Zaire 1732 Adélaïde Guesclin 1734 außereuropäisch Stoff </rel><e2>exotisch</e2> geltend Handlungsorte salonfähig erklären Peru Alzire 1736 Nahe Osten Le fanatisme ou Mahomet le prophète 1741 China Lorphelin de la Chine 1755 überwinden doctrine classique thematisch;Voltaire topicInterest Exotik;topicInterest;Voltaire;klassisch Dramaturgie formal verhaften bleiben entscheidend Impuls Auflösung starren Regelkorsetts antik Stoff Stoffkreise philosophisch Tragödie fruchtbar national Geschichte Zaire 1732 Adélaïde Guesclin 1734 außereuropäisch Stoff;exotisch;nan;nan;nan;nan
