Autor;Titel;Passage;Aussage;Code des Typs;E1;Relation;E2;POST;Seite;Annotator/in;Nr
Bauer-Funke, Cerstin;Die französische Literatur des 18. Jahrhunderts: Theorien und Entwürfe;Wie Fontenelle betont <e1>Perrault</e1><rel>in dem „Parallèle des anciens et des modernes“ (1688-1697) ein fortschrittsorientiertes </rel><e2>Geschichts- und Literaturverständnis</e2>, das erneut die Überlegenheit der gegenwärtigen Epoche und der zeitgenössischen Literatur der Antike gegenüber zeigt.;Charles Perrault topicInterest Geschichte;topicInterest;Perrault;in dem „Parallèle des anciens et des modernes“ (1688-1697) ein fortschrittsorientiertes ;Geschichts- und Literaturverständnis;nan;nan;nan;nan
Bauer-Funke, Cerstin;Die französische Literatur des 18. Jahrhunderts: Theorien und Entwürfe;Wie Fontenelle betont Perrault in dem „<e1>Parallèle des anciens et des modernes</e1><rel> (1688-1697) ein fortschrittsorientiertes </rel><e2>Geschichts- und Literaturverständnis</e2>, das erneut die Überlegenheit der gegenwärtigen Epoche und der zeitgenössischen Literatur der Antike gegenüber zeigt.;Parallèle des anciens et des modernes about Geschichte;about;Parallèle des anciens et des modernes;(1688-1697) ein fortschrittsorientiertes;Geschichts- und Literaturverständnis;nan;nan;nan;nan
Bauer-Funke, Cerstin;Die französische Literatur des 18. Jahrhunderts: Theorien und Entwürfe;Wie Fontenelle betont <e1>Perrault</e1><rel>in dem „Parallèle des anciens et des modernes“ (1688-1697) ein fortschrittsorientiertes Geschichts- und </rel><e2>Literaturverständnis</e2>, das erneut die Überlegenheit der gegenwärtigen Epoche und der zeitgenössischen Literatur der Antike gegenüber zeigt.;Charles Perrault topicInterest Literatur;topicInterest;Perrault;in dem „Parallèle des anciens et des modernes“ (1688-1697) ein fortschrittsorientiertes Geschichts- und ;Literaturverständnis;nan;nan;nan;nan
Bauer-Funke, Cerstin;Die französische Literatur des 18. Jahrhunderts: Theorien und Entwürfe;Wie Fontenelle betont Perrault in dem „<e1>Parallèle des anciens et des modernes</e1><rel> (1688-1697) ein fortschrittsorientiertes Geschichts- und </rel><e2>Literaturverständnis</e2>, das erneut die Überlegenheit der gegenwärtigen Epoche und der zeitgenössischen Literatur der Antike gegenüber zeigt.;Parallèle des anciens et des modernes about Literatur;about;Parallèle des anciens et des modernes;(1688-1697) ein fortschrittsorientiertes Geschichts- und;Literaturverständnis;nan;nan;nan;nan
Bauer-Funke, Cerstin;Die französische Literatur des 18. Jahrhunderts: Theorien und Entwürfe;Ausdruck dieses neuen, gegen die rationale <e2>Ästhetik</e2><rel>der französischen Klassik gerichteten Kunstverständnisses sind die „</rel><e1>Réflexions critiques sur la poésie et la peinture</e1>“ (1719) des Abbe Dubos (1670-1742), der den ästhetischen Wert des Schönen nun am subjektiven Geschmacksurteil des Betrachters eines Kunstwerkes festmacht.;Réflexions critiques sur la poésie et la peinture about Ästhetik;about;Réflexions critiques sur la poésie et la peinture;der französischen Klassik gerichteten Kunstverständnisses sind die „;Ästhetik;nan;nan;nan;nan
Bauer-Funke, Cerstin;Die französische Literatur des 18. Jahrhunderts: Theorien und Entwürfe;Ausdruck dieses neuen, gegen die rationale Ästhetik der französischen Klassik gerichteten <e2>Kunstverständnisses</e2><rel>sind die „</rel><e1>Réflexions critiques sur la poésie et la peinture</e1>“ (1719) des Abbe Dubos (1670-1742), der den ästhetischen Wert des Schönen nun am subjektiven Geschmacksurteil des Betrachters eines Kunstwerkes festmacht.;Réflexions critiques sur la poésie et la peinture about Kunst;about;Réflexions critiques sur la poésie et la peinture;sind die „;Kunstverständnisses;nan;nan;nan;nan
Bauer-Funke, Cerstin;Die französische Literatur des 18. Jahrhunderts: Theorien und Entwürfe;Ausdruck dieses neuen, gegen die rationale <e2>Ästhetik</e2><rel>der französischen Klassik gerichteten Kunstverständnisses sind die „Réflexions critiques sur la poésie et la peinture“ (1719) des Abbe </rel><e1>Dubos</e1> (1670-1742), der den ästhetischen Wert des Schönen nun am subjektiven Geschmacksurteil des Betrachters eines Kunstwerkes festmacht.;Jean-Baptiste Dubos topicInterest Ästhetik;topicInterest;Dubos;der französischen Klassik gerichteten Kunstverständnisses sind die „Réflexions critiques sur la poésie et la peinture“ (1719) des Abbe ;Ästhetik;nan;nan;nan;nan
Bauer-Funke, Cerstin;Die französische Literatur des 18. Jahrhunderts: Theorien und Entwürfe;Ausdruck dieses neuen, gegen die rationale Ästhetik der französischen Klassik gerichteten <e2>Kunstverständnisses</e2><rel>sind die „Réflexions critiques sur la poésie et la peinture“ (1719) des Abbe </rel><e1>Dubos</e1> (1670-1742), der den ästhetischen Wert des Schönen nun am subjektiven Geschmacksurteil des Betrachters eines Kunstwerkes festmacht.;Jean-Baptiste Dubos topicInterest Kunst;topicInterest;Dubos;sind die „Réflexions critiques sur la poésie et la peinture“ (1719) des Abbe ;Kunstverständnisses;nan;nan;nan;nan
Bauer-Funke, Cerstin;Die französische Literatur des 18. Jahrhunderts: Theorien und Entwürfe;Wie stark das 18. Jh. einerseits noch von der Ästhetik der französischen Klassik geprägt ist, andererseits sich aber bereits im Ablösungsprozeß von der doctrine classqiue befindet, belegt exemplarisch <e1>Voltaire</e1><rel> kritischsatirischer „Temple du goût“ (1733), eine in Vers und Prosa abgefaßte allegorische Reise zum Tempel des guten </rel><e2>Geschmacks</e2>, die als literaturkritischer Essay zu lesen ist.;Voltaire topicInterest Geschmack;topicInterest;Voltaire;kritischsatirischer „Temple du goût“ (1733), eine in Vers und Prosa abgefaßte allegorische Reise zum Tempel des guten;Geschmacks;nan;nan;nan;nan
Bauer-Funke, Cerstin;Die französische Literatur des 18. Jahrhunderts: Theorien und Entwürfe;Wie stark das 18. Jh. einerseits noch von der Ästhetik der französischen Klassik geprägt ist, andererseits sich aber bereits im Ablösungsprozeß von der doctrine classqiue befindet, belegt exemplarisch <e1>Voltaire</e1><rel> </rel><e2>kritischsatirischer </e2>„Temple du goût“ (1733), eine in Vers und Prosa abgefaßte allegorische Reise zum Tempel des guten Geschmacks, die als literaturkritischer Essay zu lesen ist.;Voltaire topicInterest Kritik;topicInterest;Voltaire; ;kritischsatirischer ;RTS;nan;nan;nan
Bauer-Funke, Cerstin;Die französische Literatur des 18. Jahrhunderts: Theorien und Entwürfe;Wie stark das 18. Jh. einerseits noch von der Ästhetik der französischen Klassik geprägt ist, andererseits sich aber bereits im Ablösungsprozeß von der doctrine classqiue befindet, belegt exemplarisch Voltaires kritischsatirischer „<e1>Temple du goût</e1><rel> (1733), eine in Vers und Prosa abgefaßte allegorische Reise zum Tempel des guten </rel><e2>Geschmacks</e2>, die als literaturkritischer Essay zu lesen ist.;Temple du goût about Geschmack;about;Temple du goût;(1733), eine in Vers und Prosa abgefaßte allegorische Reise zum Tempel des guten;Geschmacks;nan;nan;nan;nan
Bauer-Funke, Cerstin;Die französische Literatur des 18. Jahrhunderts: Theorien und Entwürfe;Wie stark das 18. Jh. einerseits noch von der Ästhetik der französischen Klassik geprägt ist, andererseits sich aber bereits im Ablösungsprozeß von der doctrine classqiue befindet, belegt exemplarisch Voltaires <e2>kritischsatirischer </e2><rel></rel><e1>Temple du goût</e1>“ (1733), eine in Vers und Prosa abgefaßte allegorische Reise zum Tempel des guten Geschmacks, die als literaturkritischer Essay zu lesen ist.;Temple du goût about Kritik;about;Temple du goût;nan;kritischsatirischer ;RTS;nan;nan;nan
Bauer-Funke, Cerstin;Die französische Literatur des 18. Jahrhunderts: Theorien und Entwürfe;Während <e1>Voltaire</e1><rel> Zeitgenossen Houdar de La Motte, Marivaux und Jean Baptiste Rousseau der Zutritt zum Altar verweigert wird, dürfen die großen Schriftsteller der französischen Klassik - Fénelon, Bossuet, Corneille, Racine, La Fontaine, Boileau und Molière -den innersten Tempelbereich betreten, sind jedoch angewiesen, ihre Werke im Sinne des guten </rel><e2>Geschmacks</e2> zu überarbeiten.] Diesen definiert Voltaire mit Begriffen wie Reinheit, Eleganz und Einfachheit, wobei er im Kern auf Dubos’ sensualistische Geschmacksdefinition rekurriert, eine Definition, auf die er in seinem für die „Encyclopédie“ verfaßten Artikel „Goût“ (1756) und in dem entsprechenden Artikel im „Dictionnaire philosophique“ (1770) zurückkommt.;Voltaire topicInterest Geschmack;topicInterest;Voltaire;Zeitgenossen Houdar de La Motte, Marivaux und Jean Baptiste Rousseau der Zutritt zum Altar verweigert wird, dürfen die großen Schriftsteller der französischen Klassik - Fénelon, Bossuet, Corneille, Racine, La Fontaine, Boileau und Molière -den innersten Tempelbereich betreten, sind jedoch angewiesen, ihre Werke im Sinne des guten;Geschmacks;nan;nan;nan;nan
Bauer-Funke, Cerstin;Die französische Literatur des 18. Jahrhunderts: Theorien und Entwürfe;Während Voltaires Zeitgenossen Houdar de La Motte, Marivaux und Jean Baptiste Rousseau der Zutritt zum Altar verweigert wird, dürfen die großen Schriftsteller der französischen Klassik - Fénelon, Bossuet, Corneille, Racine, La Fontaine, Boileau und Molière -den innersten Tempelbereich betreten, sind jedoch angewiesen, ihre Werke im Sinne des guten Geschmackszu überarbeiten.] Diesen definiert Voltaire mit Begriffen wie Reinheit, Eleganz und Einfachheit, wobei er im Kern auf Dubos’ sensualistische <e2>Geschmacksdefinition</e2><rel> rekurriert, eine Definition, auf die er in seinem für die „Encyclopédie“ verfaßten Artikel „</rel><e1>Goût</e1>“ (1756) und in dem entsprechenden Artikel im „Dictionnaire philosophique“ (1770) zurückkommt.;Goût about Geschmack;about;Goût;rekurriert, eine Definition, auf die er in seinem für die „Encyclopédie“ verfaßten Artikel „;Geschmacksdefinition;nan;nan;nan;nan
Bauer-Funke, Cerstin;Die französische Literatur des 18. Jahrhunderts: Theorien und Entwürfe;Während Voltaires Zeitgenossen Houdar de La Motte, Marivaux und Jean Baptiste Rousseau der Zutritt zum Altar verweigert wird, dürfen die großen Schriftsteller der französischen Klassik - Fénelon, Bossuet, Corneille, Racine, La Fontaine, Boileau und Molière -den innersten Tempelbereich betreten, sind jedoch angewiesen, ihre Werke im Sinne des guten Geschmackszu überarbeiten.] Diesen definiert Voltaire mit Begriffen wie Reinheit, Eleganz und Einfachheit, wobei er im Kern auf Dubos’ sensualistische <e2>Geschmacksdefinition</e2><rel> rekurriert, eine Definition, auf die er in seinem für die „Encyclopédie“ verfaßten Artikel „Goût“ (1756) und in dem entsprechenden Artikel im „</rel><e1>Dictionnaire philosophique</e1>“ (1770) zurückkommt.;Dictionnaire philosophique about Geschmack;about;Dictionnaire philosophique;rekurriert, eine Definition, auf die er in seinem für die „Encyclopédie“ verfaßten Artikel „Goût“ (1756) und in dem entsprechenden Artikel im „;Geschmacksdefinition;nan;nan;nan;nan
Bauer-Funke, Cerstin;Die französische Literatur des 18. Jahrhunderts: Theorien und Entwürfe;Unter Bezugnahme auf die doctrine classique und die drei Einheiten verortet <e1>Charles Batteux</e1><rel>in seinem kunsttheoretischen Werk „Les beaux-arts réduits à un meme principe“ (1746) die </rel><e2>Literatur</e2> im System der schönen Künste, die er auf ein Grundgesetz - die Nachahmung der Natur - zurückführt.;Charles Batteux topicInterest Literatur;topicInterest;Charles Batteux;in seinem kunsttheoretischen Werk „Les beaux-arts réduits à un meme principe“ (1746) die ;Literatur;nan;nan;nan;nan
Bauer-Funke, Cerstin;Die französische Literatur des 18. Jahrhunderts: Theorien und Entwürfe;Unter Bezugnahme auf die doctrine classique und die drei Einheiten verortet <e1>Charles Batteux</e1><rel>in seinem </rel><e2>kunsttheoretischen Werk</e2> „Les beaux-arts réduits à un meme principe“ (1746) die Literatur im System der schönen Künste, die er auf ein Grundgesetz - die Nachahmung der Natur - zurückführt.;Charles Batteux topicInterest Kunst;topicInterest;Charles Batteux;in seinem ;kunsttheoretischen Werk;nan;nan;nan;nan
Bauer-Funke, Cerstin;Die französische Literatur des 18. Jahrhunderts: Theorien und Entwürfe;Unter Bezugnahme auf die doctrine classique und die drei Einheiten verortet <e1>Charles Batteux</e1><rel>in seinem kunsttheoretischen Werk „Les beaux-arts réduits à un meme principe“ (1746) die Literatur im System der schönen Künste, die er auf ein Grundgesetz - die Nachahmung der </rel><e2>Natur</e2> - zurückführt.;Charles Batteux topicInterest Natur;topicInterest;Charles Batteux;in seinem kunsttheoretischen Werk „Les beaux-arts réduits à un meme principe“ (1746) die Literatur im System der schönen Künste, die er auf ein Grundgesetz - die Nachahmung der ;Natur;nan;nan;nan;nan
Bauer-Funke, Cerstin;Die französische Literatur des 18. Jahrhunderts: Theorien und Entwürfe;Unter Bezugnahme auf die doctrine classique und die drei Einheiten verortet Charles Batteux in seinem kunsttheoretischen Werk „<e1>Les beaux-arts réduits à un meme principe</e1><rel> (1746) die </rel><e2>Literatur</e2> im System der schönen Künste, die er auf ein Grundgesetz - die Nachahmung der Natur - zurückführt.;Les beaux-arts réduits à un meme principe about Literatur;about;Les beaux-arts réduits à un meme principe;(1746) die;Literatur;nan;nan;nan;nan
Bauer-Funke, Cerstin;Die französische Literatur des 18. Jahrhunderts: Theorien und Entwürfe;Unter Bezugnahme auf die doctrine classique und die drei Einheiten verortet Charles Batteux in seinem <e2>kunsttheoretischen Werk</e2><rel>„</rel><e1>Les beaux-arts réduits à un meme principe</e1>“ (1746) die Literatur im System der schönen Künste, die er auf ein Grundgesetz - die Nachahmung der Natur - zurückführt.;Les beaux-arts réduits à un meme principe about Kunst;about;Les beaux-arts réduits à un meme principe;„;kunsttheoretischen Werk;nan;nan;nan;nan
Bauer-Funke, Cerstin;Die französische Literatur des 18. Jahrhunderts: Theorien und Entwürfe;Unter Bezugnahme auf die doctrine classique und die drei Einheiten verortet Charles Batteux in seinem kunsttheoretischen Werk „<e1>Les beaux-arts réduits à un meme principe</e1><rel> (1746) die Literatur im System der schönen Künste, die er auf ein Grundgesetz - die Nachahmung der </rel><e2>Natur</e2> - zurückführt.;Les beaux-arts réduits à un meme principe about Natur;about;Les beaux-arts réduits à un meme principe;(1746) die Literatur im System der schönen Künste, die er auf ein Grundgesetz - die Nachahmung der;Natur;RTS;nan;nan;nan
Bauer-Funke, Cerstin;Die französische Literatur des 18. Jahrhunderts: Theorien und Entwürfe;Nach Batteux unternehmen auch Mitarbeiter der „<e1>Encyclopédie</e1><rel> Definitionsversuche des </rel><e2>Geschmacks</e2>.;Encyclopédie about Geschmack;about;Encyclopédie;Definitionsversuche des;Geschmacks;nan;nan;nan;nan
Bauer-Funke, Cerstin;Die französische Literatur des 18. Jahrhunderts: Theorien und Entwürfe;Neben Voltaire verfaßt <e1>Montesquieu</e1> <rel>auf Bitten d’Alemberts für die „Encyclopédie“ einen postum 1756 erschienenen „Essai sur le goût dans les choses delà nature et de l’art“, in dem er die von Dubos vertretene sensualistische </rel><e2>Theorie der Künste</e2> verficht: Wie dieser sieht Montesquieu im sentinient die Grundlage für das Geschmacksurteil.;Montesquieu topicInterest Kunst;topicInterest;Montesquieu;auf Bitten d’Alemberts für die „Encyclopédie“ einen postum 1756 erschienenen „Essai sur le goût dans les choses delà nature et de l’art“, in dem er die von Dubos vertretene sensualistische ;Theorie der Künste;nan;nan;nan;nan
Bauer-Funke, Cerstin;Die französische Literatur des 18. Jahrhunderts: Theorien und Entwürfe;Neben Voltaire verfaßt <e1>Montesquieu</e1><rel>auf Bitten d’Alemberts für die „Encyclopédie“ einen postum 1756 erschienenen „Essai sur le goût dans les choses delà nature et de l’art“, in dem er die von Dubos vertretene sensualistische Theorie der Künste verficht: Wie dieser sieht Montesquieu im sentinient die Grundlage für das </rel><e2>Geschmacksurteil</e2>.;Montesquieu topicInterest Geschmack;topicInterest;Montesquieu;auf Bitten d’Alemberts für die „Encyclopédie“ einen postum 1756 erschienenen „Essai sur le goût dans les choses delà nature et de l’art“, in dem er die von Dubos vertretene sensualistische Theorie der Künste verficht: Wie dieser sieht Montesquieu im sentinient die Grundlage für das ;Geschmacksurteil;nan;nan;nan;nan
Bauer-Funke, Cerstin;Die französische Literatur des 18. Jahrhunderts: Theorien und Entwürfe;Neben Voltaire verfaßt Montesquieu auf Bitten d’Alemberts für die „Encyclopédie“ einen postum 1756 erschienenen „<e1>Essai sur le goût dans les choses delà nature et de l’art</e1><rel>“, in dem er die von Dubos vertretene sensualistische </rel><e2>Theorie der Künste</e2> verficht: Wie dieser sieht Montesquieu im sentinient die Grundlage für das Geschmacksurteil.;Essai sur le goût dans les choses delà nature et de l’art about Kunst;about;Essai sur le goût dans les choses delà nature et de l’art;in dem er die von Dubos vertretene sensualistische;Theorie der Künste;nan;nan;nan;nan
Bauer-Funke, Cerstin;Die französische Literatur des 18. Jahrhunderts: Theorien und Entwürfe;Neben Voltaire verfaßt Montesquieu auf Bitten d’Alemberts für die „Encyclopédie“ einen postum 1756 erschienenen „<e1>Essai sur le goût dans les choses delà nature et de l’art</e1><rel>, in dem er die von Dubos vertretene sensualistische Theorie der Künste verficht: Wie dieser sieht Montesquieu im sentinient die Grundlage für das </rel><e2>Geschmacksurteil</e2>.;Essai sur le goût dans les choses delà nature et de l’art about Geschmack;about;Essai sur le goût dans les choses delà nature et de l’art;in dem er die von Dubos vertretene sensualistische Theorie der Künste verficht: Wie dieser sieht Montesquieu im sentinient die Grundlage für das;Geschmacksurteil;nan;nan;nan;nan
Bauer-Funke, Cerstin;Die französische Literatur des 18. Jahrhunderts: Theorien und Entwürfe;Neben Voltaire verfaßt Montesquieu auf Bitten d’Alemberts für die „Encyclopédie“ einen postum 1756 erschienenen „Essai sur le goût dans les choses delà nature et de l’art“, in dem er die von <e1>Dubos</e1><rel> vertretene sensualistische </rel><e2>Theorie der Künste</e2> verficht: Wie dieser sieht Montesquieu im sentinient die Grundlage für das Geschmacksurteil.;Jean-Baptiste Dubos topicInterest Kunst;topicInterest;Dubos;vertretene sensualistische;Theorie der Künste;nan;nan;nan;nan
Bauer-Funke, Cerstin;Die französische Literatur des 18. Jahrhunderts: Theorien und Entwürfe;Neben Voltaire verfaßt Montesquieu auf Bitten d’Alemberts für die „Encyclopédie“ einen postum 1756 erschienenen „Essai sur le goût dans les choses delà nature et de l’art“, in dem er die von <e1>Dubos</e1><rel>vertretene sensualistische Theorie der Künste verficht: Wie dieser sieht Montesquieu im sentinient die Grundlage für das </rel><e2>Geschmacksurteil</e2>.;Jean-Baptiste Dubos topicInterest Geschmack;topicInterest;Dubos;vertretene sensualistische Theorie der Künste verficht: Wie dieser sieht Montesquieu im sentinient die Grundlage für das ;Geschmacksurteil;nan;nan;nan;nan
Bauer-Funke, Cerstin;Die französische Literatur des 18. Jahrhunderts: Theorien und Entwürfe;<e1>Diderot</e1><rel>befaßt sich mit der Kategorie des </rel><e2>Geschmacks</e2> im Artikel „Beau“ der „Encyclopédie“ und in seinen neun „Salons“, jenen zwischen 1759 und 1781 für Grimms „Correspondance littéraire“ verfaßten kunstkritischen Berichten über die Kunstausstellungen im Louvre.;Denis Diderot topicInterest Geschmack;topicInterest;Diderot;befaßt sich mit der Kategorie des ;Geschmacks;nan;nan;nan;nan
Bauer-Funke, Cerstin;Die französische Literatur des 18. Jahrhunderts: Theorien und Entwürfe;Diderot befaßt sich mit der Kategorie des <e2>Geschmacks</e2><rel>im Artikel „</rel><e1>Beau</e1>“ der „Encyclopédie“ und in seinen neun „Salons“, jenen zwischen 1759 und 1781 für Grimms „Correspondance littéraire“ verfaßten kunstkritischen Berichten über die Kunstausstellungen im Louvre.;Beau about Geschmack;about;Beau;im Artikel „;Geschmacks;RSU;nan;nan;nan
Bauer-Funke, Cerstin;Die französische Literatur des 18. Jahrhunderts: Theorien und Entwürfe;Diderot befaßt sich mit der Kategorie des <e2>Geschmacks</e2><rel>im Artikel „Beau“ der „Encyclopédie“ und in seinen neun „</rel><e1>Salons</e1>“, jenen zwischen 1759 und 1781 für Grimms „Correspondance littéraire“ verfaßten kunstkritischen Berichten über die Kunstausstellungen im Louvre.;Salons about Geschmack;about;Salons;im Artikel „Beau“ der „Encyclopédie“ und in seinen neun „;Geschmacks;nan;nan;nan;nan
Bauer-Funke, Cerstin;Die französische Literatur des 18. Jahrhunderts: Theorien und Entwürfe;Diderot befaßt sich mit der Kategorie des Geschmacks im Artikel „Beau“ der „Encyclopédie“ und in seinen neun „<e1>Salons</e1><rel>, jenen zwischen 1759 und 1781 für Grimms „Correspondance littéraire“ verfaßten </rel><e2>kunstkritischen Berichten</e2> über die Kunstausstellungen im Louvre.;Salons about Kunstkritik;about;Salons;jenen zwischen 1759 und 1781 für Grimms „Correspondance littéraire“ verfaßten;kunstkritischen Berichten;nan;nan;nan;nan
Bauer-Funke, Cerstin;Die französische Literatur des 18. Jahrhunderts: Theorien und Entwürfe;<e1>Diderot</e1><rel>befaßt sich mit der Kategorie des Geschmacks im Artikel „Beau“ der „Encyclopédie“ und in seinen neun „Salons“, jenen zwischen 1759 und 1781 für Grimms „Correspondance littéraire“ verfaßten </rel><e2>kunstkritischen Berichten</e2> über die Kunstausstellungen im Louvre.;Denis Diderot topicInterest Kunstkritik;topicInterest;Diderot;befaßt sich mit der Kategorie des Geschmacks im Artikel „Beau“ der „Encyclopédie“ und in seinen neun „Salons“, jenen zwischen 1759 und 1781 für Grimms „Correspondance littéraire“ verfaßten ;kunstkritischen Berichten;nan;nan;nan;nan
